roberto_reward,marvin_reward,reward
-1007.9,-1007.9,-2015.8
-1012.12,-1012.12,-2024.23
-1011.7,-1011.7,-2023.41
-1007.8,-1007.8,-2015.6
-1007.7,-1007.7,-2015.4
-1007.92,-1007.92,-2015.85
-1007.8,-1007.8,-2015.61
-1008.1,-1008.1,-2016.2
-1008.22,-1008.22,-2016.44
-1007.7,-1007.7,-2015.4
-1007.9,-1007.9,-2015.8
-1007.7,-1007.7,-2015.4
-1007.9,-1007.9,-2015.8
-1007.81,-1007.81,-2015.62
-1008.3,-1008.3,-2016.6
-1007.6,-1007.6,-2015.2
-1007.8,-1007.8,-2015.6
-1008.2,-1008.2,-2016.4
-1007.8,-1007.8,-2015.6
-1008,-1008,-2016
-1008.23,-1008.23,-2016.45
-1008.9,-1008.9,-2017.81
-1008.4,-1008.4,-2016.8
-1008.1,-1008.1,-2016.2
-1010.1,-1010.1,-2020.2
-1007.8,-1007.8,-2015.6
-1008,-1008,-2016
-1007.8,-1007.8,-2015.6
-1007.8,-1007.8,-2015.6
-1007.8,-1007.8,-2015.61
-1007.8,-1007.8,-2015.6
-1007.9,-1007.9,-2015.8
-1008,-1008,-2016
-1007.52,-1007.52,-2015.05
-1008.1,-1008.1,-2016.2
-1007.9,-1007.9,-2015.81
-1007.6,-1007.6,-2015.21
-1008.3,-1008.3,-2016.61
-1007.8,-1007.8,-2015.6
-1007.8,-1007.8,-2015.6
-1008,-1008,-2016.01
-1008.3,-1008.3,-2016.61
-1008.1,-1008.1,-2016.2
-1007.81,-1007.81,-2015.62
-1007.8,-1007.8,-2015.6
-1007.8,-1007.8,-2015.6
-1008.4,-1008.4,-2016.81
-1007.9,-1007.9,-2015.8
-1008,-1008,-2016
-1007.5,-1007.5,-2015
-1008,-1008,-2016
-1007.8,-1007.8,-2015.6
-1007.62,-1007.62,-2015.24
-1083.5,-1083.5,-2167
-1007.6,-1007.6,-2015.2
-1012.7,-1012.7,-2025.41
-1008.2,-1008.2,-2016.4
-1007.6,-1007.6,-2015.2
-1008.1,-1008.1,-2016.2
-1008.2,-1008.2,-2016.4
-1007.6,-1007.6,-2015.2
-1007.5,-1007.5,-2015
-1007.6,-1007.6,-2015.21
-1007.9,-1007.9,-2015.81
-1007.9,-1007.9,-2015.81
-1007.5,-1007.5,-2015.01
-1008.4,-1008.4,-2016.8
-1011,-1011,-2022
-1008.4,-1008.4,-2016.81
-1007.7,-1007.7,-2015.41
-1008,-1008,-2016
-1008.12,-1008.12,-2016.25
-1007.8,-1007.8,-2015.61
-1011.5,-1011.5,-2023.01
-1008,-1008,-2016
-1008.1,-1008.1,-2016.2
-1007.7,-1007.7,-2015.41
-1008,-1008,-2016
-1008.3,-1008.3,-2016.6
-1007.4,-1007.4,-2014.8
-1007.6,-1007.6,-2015.2
-1008.1,-1008.1,-2016.2
-1007.6,-1007.6,-2015.2
-1007.7,-1007.7,-2015.4
-1007.61,-1007.61,-2015.21
-1008.2,-1008.2,-2016.4
-1007.82,-1007.82,-2015.63
-1008,-1008,-2016
-1007.6,-1007.6,-2015.2
-1007.8,-1007.8,-2015.6
-1008,-1008,-2016
-1007.93,-1007.93,-2015.85
-1007.8,-1007.8,-2015.6
-1007.8,-1007.8,-2015.6
-1008,-1008,-2016
-1007.7,-1007.7,-2015.41
-1008.6,-1008.6,-2017.21
-1008,-1008,-2016
-1008.21,-1008.21,-2016.42
-1007.81,-1007.81,-2015.62
