roberto_reward,marvin_reward,reward

-1008.2,-1008.2,-2016.4
-18.205,-19,-37.205
-1009.7,-1009.7,-2019.4
-1008.51,-1008.51,-2017.02
-1007.7,-1007.7,-2015.4
-18.002,-18.401,-36.403
-1007.1,-1007.1,-2014.2
-1007.3,-1007.3,-2014.6
-1008.91,-1008.91,-2017.81
-17.8,-19.701,-37.501
-1007.71,-1007.71,-2015.41
-18.501,-18.902,-37.403
-17.702,-18.902,-36.604
-18.905,-19.504,-38.409
-18.702,-19.002,-37.704
-1007.51,-1007.51,-2015.02
-1007.3,-1007.3,-2014.61
-1008.24,-1008.24,-2016.47
-1008.6,-1008.6,-2017.2
-1006.9,-1006.9,-2013.8
-1010.1,-1010.1,-2020.21
-18.807,-19.513,-38.32
-18.709,-19,-37.709
-1008.7,-1008.7,-2017.4
-1010.5,-1010.5,-2021
-17.913,-18.821,-36.734
-18.401,-18.902,-37.303
-18.607,-18.9,-37.507
-18.701,-18.801,-37.502
-19.116,-17.9,-37.016
-1009,-1009,-2018
-1007.8,-1007.8,-2015.6
-18,-18.7,-36.7
-18.804,-19.503,-38.307
-17.902,-19.702,-37.604
-1007.1,-1007.1,-2014.2
-1007.5,-1007.5,-2015
-1010.11,-1010.11,-2020.22
-1010.4,-1010.4,-2020.8
-18.302,-19.2,-37.502
-18.803,-19.304,-38.107
-1007.4,-1007.4,-2014.8
-1006.8,-1006.8,-2013.61
-18.501,-18.702,-37.203
-1009.7,-1009.7,-2019.4
-19.105,-19.801,-38.906
-18,-19.602,-37.602
-1007.9,-1007.9,-2015.8
-18.312,-18.601,-36.913
-1008.8,-1008.8,-2017.6
-1007.1,-1007.1,-2014.2
-17.801,-19.1,-36.901
-1010.6,-1010.6,-2021.2
-17.501,-19.102,-36.603
-1009.4,-1009.4,-2018.8
-17.403,-19.103,-36.506
-18.001,-18.601,-36.602
-18.404,-18.7,-37.104
-17.901,-18.903,-36.804
-1008,-1008,-2016
-1007.9,-1007.9,-2015.8
-18.308,-19.502,-37.81
-1007.61,-1007.61,-2015.22
-18.804,-19.308,-38.112
-18.302,-19.803,-38.105
-18.204,-18.801,-37.005
-18.3,-19,-37.3
-17.401,-19.202,-36.603
-1007.7,-1007.7,-2015.4
-17.801,-19.002,-36.803
-18.803,-20.603,-39.406
-1010.1,-1010.1,-2020.2
-19.402,-18.203,-37.605
-18.4,-19.301,-37.701
-19,-19.7,-38.7
-17.909,-19.101,-37.01
-18.006,-19.303,-37.309
-18.401,-19.3,-37.701
-18,-20.019,-38.019
-1013.21,-1013.21,-2026.42
-18.002,-19,-37.002
-18.802,-19.603,-38.405
-1007.2,-1007.2,-2014.4
-18.103,-18.406,-36.509
-18.6,-18.513,-37.113
-19.013,-20.402,-39.415
-1007.42,-1007.42,-2014.83
-18.7,-19.609,-38.309
-18.007,-19.603,-37.61
-1007.81,-1007.81,-2015.62
-1007.4,-1007.4,-2014.8
-1007.5,-1007.5,-2015
-1010.61,-1010.61,-2021.21
-1008.02,-1008.02,-2016.04
-18.71,-19.201,-37.911
-1010.1,-1010.1,-2020.2
-19.3,-19.901,-39.201
-19.501,-20,-39.501
-18.5,-19.701,-38.201
-18.002,-20.203,-38.205
