roberto_reward,marvin_reward,reward
-142.903,-23.002,-165.905
-147.603,-153.2,-300.803
-158.803,-160.703,-319.506
-142.9,-23.001,-165.901
-145.002,-166.325,-311.327
-30.602,-149.103,-179.705
-151.105,-169.702,-320.807
-146.614,-147.603,-294.217
-142.42,-24.326,-166.746
-143.103,-22.701,-165.804
-144.002,-24.713,-168.715
-148.3,-151.107,-299.407
-146.32,-148.903,-295.223
-145.112,-161.801,-306.913
-145.701,-147.203,-292.904
-143.329,-21.802,-165.131
-148.601,-168.4,-317.001
-143.002,-28.5,-171.502
-1092.71,-1092.71,-2185.42
-144.705,-27.4,-172.105
-142.502,-23.2,-165.702
-1103.5,-1103.5,-2207
-22.602,-141.802,-164.404
-146.1,-164.701,-310.801
-143.9,-26.2,-170.1
-1127,-1127,-2254
-150.801,-168.308,-319.109
-143.6,-25.901,-169.501
-142.7,-25.115,-167.815
-143.602,-26.502,-170.104
-145.719,-25.304,-171.023
-145.804,-150.601,-296.405
-145.6,-25.703,-171.303
-144.204,-28.403,-172.607
-144.003,-28.301,-172.304
-1011.1,-1011.1,-2022.21
-1153.5,-1153.5,-2307
-145.601,-152.507,-298.108
-145.801,-165.336,-311.137
-147.702,-153.302,-301.004
-141.014,-22.702,-163.716
-145.425,-166.327,-311.752
-1023.71,-1023.71,-2047.41
-146.115,-163.825,-309.94
-145,-25.001,-170.001
-143.403,-26.5,-169.903
-141.701,-160.504,-302.205
-1060.5,-1060.5,-2121
-147,-164.31,-311.31
-144.901,-162.901,-307.802
-141.702,-22.301,-164.003
-147.702,-150.001,-297.703
-1093.5,-1093.5,-2187
-153.303,-157.402,-310.705
-145.504,-148,-293.504
-142.901,-23.3,-166.201
-146.303,-28.701,-175.004
-144.2,-26.204,-170.404
-147.102,-150.502,-297.604
-150,-172.1,-322.1
-146.1,-148.9,-295
-143.403,-25.202,-168.605
-151.705,-169.702,-321.407
-147.001,-151.502,-298.503
-145.716,-147.9,-293.616
-146.201,-162.8,-309.001
-145.301,-165.602,-310.903
-143.201,-26.401,-169.602
-25.5,-144.3,-169.8
-144.602,-161.8,-306.402
-146.707,-25.2,-171.907
-143.812,-25.6,-169.412
-142.304,-22.806,-165.11
-144.1,-26.501,-170.601
-145.9,-148.601,-294.501
-1061.5,-1061.5,-2123
-142.604,-23.002,-165.606
-144.902,-24.704,-169.606
-141.717,-21.716,-163.433
-145.7,-28.102,-173.802
-146.34,-149.4,-295.74
-142.602,-25.501,-168.103
-143.902,-25.802,-169.704
-143.8,-26.204,-170.004
-1106.9,-1106.9,-2213.8
-146.701,-28.008,-174.709
-1149.6,-1149.6,-2299.21
-145.121,-163.304,-308.425
-142.1,-22.3,-164.4
-143.701,-26.301,-170.002
-145.603,-163.704,-309.307
-23.403,-143.803,-167.206
-146.101,-148.903,-295.004
-144.515,-25.517,-170.032
-143.704,-23.914,-167.618
-147.701,-149.703,-297.404
-141.301,-23.605,-164.906
-142.303,-24.201,-166.504
-143.9,-26.002,-169.902
-143.002,-162.703,-305.705
