roberto_reward,marvin_reward,reward
-1008.9,-1008.9,-2017.81
-21.102,-22.305,-43.407
-1009.51,-1009.51,-2019.01
-1014,-1014,-2028.01
-1013.7,-1013.7,-2027.4
-1011.8,-1011.8,-2023.6
-1013.1,-1013.1,-2026.2
-22.504,-22.801,-45.305
-1014.7,-1014.7,-2029.4
-1012.8,-1012.8,-2025.6
-1015.8,-1015.8,-2031.61
-19.1,-19.501,-38.601
-1019.7,-1019.7,-2039.4
-18.307,-20.5,-38.807
-1015.4,-1015.4,-2030.8
-18.519,-20.232,-38.751
-18.902,-19.905,-38.807
-18.502,-19.5,-38.002
-1023.8,-1023.8,-2047.6
-18.204,-19.703,-37.907
-18.901,-19.702,-38.603
-19.301,-19.9,-39.201
-18.701,-20.004,-38.705
-18.915,-19.935,-38.85
-18.7,-19.502,-38.202
-19.9,-20.202,-40.102
-18.703,-20.001,-38.704
-18.501,-18.602,-37.103
-21.002,-21.003,-42.005
-21.305,-21.305,-42.61
-1000.1,-1000.1,-2000.2
-1028.6,-1028.6,-2057.2
-18.302,-20.601,-38.903
-19.401,-20.101,-39.502
-26.201,-26.1,-52.301
-17.902,-19.7,-37.602
-21.202,-21.701,-42.903
-26.101,-24.6,-50.701
-25,-23.501,-48.501
-1022.21,-1022.21,-2044.42
-18.701,-19.2,-37.901
-19.618,-20.404,-40.022
-19.202,-19.702,-38.904
-19.502,-20.202,-39.704
-23.907,-23.601,-47.508
-1027,-1027,-2054
-19.003,-20.103,-39.106
-21.301,-23.504,-44.805
-1026.1,-1026.1,-2052.2
-20.8,-20.601,-41.401
-20.2,-20.601,-40.801
-1029,-1029,-2058
-19.703,-19.9,-39.603
-18.902,-20.703,-39.605
-1029.1,-1029.1,-2058.2
-19.001,-19.201,-38.202
-20.902,-21.802,-42.704
-20.326,-20.4,-40.726
-1033.1,-1033.1,-2066.2
-1011.12,-1011.12,-2022.23
-22.5,-23.619,-46.119
-1000.1,-1000.1,-2000.2
-19.108,-19.402,-38.51
-18.402,-19.3,-37.702
-20.008,-19.802,-39.81
-21.71,-20.201,-41.911
-18.512,-19.3,-37.812
-1005.4,-1005.4,-2010.81
-31.906,-27.203,-59.109
-1000.1,-1000.1,-2000.2
-19.103,-18.9,-38.003
-18.205,-18.802,-37.007
-31.301,-31.901,-63.202
-20.502,-20.102,-40.604
-1001.9,-1001.9,-2003.81
-19.1,-20.2,-39.3
-19.801,-21.103,-40.904
-20.416,-22.307,-42.723
-1002.4,-1002.4,-2004.8
-18.902,-19.305,-38.207
-20.711,-20.327,-41.038
-1005.5,-1005.5,-2011.01
-21.103,-20.901,-42.004
-1003.9,-1003.9,-2007.8
-18.801,-19.5,-38.301
-22.401,-23.712,-46.113
-1007.4,-1007.4,-2014.8
-18.003,-19.8,-37.803
-24.501,-27.302,-51.803
-1003.9,-1003.9,-2007.8
-1046.4,-1046.4,-2092.8
-1017.9,-1017.9,-2035.8
-1009.43,-1009.43,-2018.86
-20.103,-21.702,-41.805
-1051,-1051,-2102
-21.6,-22.501,-44.101
-1012.5,-1012.5,-2025
-18.805,-19.804,-38.609
-18.903,-20.6,-39.503
-1058.8,-1058.8,-2117.6
