type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,18.035,10.500,0.810,8.888,1.600,0.750,-50.666778564453125,-26.077,-41.977,-68.054
exploit,16.235,10.500,1.667,7.041,2.051,0.427,-50.01642608642578,-26.751,-41.058,-67.809
exploit,19.635,10.300,1.911,10.442,1.991,0.950,-50.098876953125,-27.063,-45.947,-73.01
exploit,19.635,9.650,1.917,10.469,1.540,1.600,-50.473880767822266,-28.734,-47.832,-76.566
exploit,16.385,10.350,1.335,6.795,2.062,0.626,-50.57063674926758,-27.496,-42.406,-69.902
exploit,18.185,9.700,0.702,8.969,0.950,1.550,-50.0635986328125,-30.071,-47.971,-78.042
exploit,17.885,9.550,0.361,8.618,0.825,1.600,-50.10986328125,-26.866,-47.166,-74.032
exploit,17.935,9.550,0.425,8.600,0.814,1.600,-51.11474609375,-27.347,-44.346,-71.693
exploit,18.085,10.550,0.801,8.933,1.600,0.700,-50.655181884765625,-25.238,-45.038,-70.276
exploit,17.785,10.600,0.707,8.788,1.600,0.650,-50.11083984375,-25.54,-41.739,-67.279
exploit,17.835,9.650,0.352,8.678,0.934,1.600,-50.539794921875,-27.683,-46.681,-74.364
exploit,19.635,10.150,1.826,10.404,1.877,1.100,-50.529640197753906,-27.213,-47.013,-74.226
exploit,19.585,10.100,1.840,10.314,1.806,1.150,-50.27862548828125,-26.716,-46.317,-73.033
exploit,17.785,9.550,0.533,8.638,0.854,1.600,-50.7314453125,-27.269,-43.468,-70.737
exploit,19.385,9.850,1.669,10.211,1.487,1.400,-50.389495849609375,-27.806,-46.802,-74.608
exploit,19.635,9.350,2.018,10.498,1.387,1.776,-50.25215530395508,-28.818,-51.518,-80.336
exploit,19.385,9.900,1.694,10.197,1.524,1.350,-50.41339111328125,-28.491,-46.494,-74.985
exploit,19.585,9.900,1.843,10.341,1.662,1.350,-50.03535461425781,-28.132,-45.655,-73.787
exploit,17.985,9.550,0.486,8.759,0.806,1.600,-50.386474609375,-26.961,-44.046,-71.007
exploit,17.535,10.650,0.820,8.405,1.600,0.600,-51.649444580078125,-26.39,-42.389,-68.779
exploit,17.485,9.350,0.636,8.247,0.721,2.089,-50.108642578125,-28.601,-40.083,-68.684
exploit,19.235,8.650,2.173,9.752,1.600,0.850,-50.08985900878906,-25.691,-50.188,-75.879
exploit,19.485,10.200,1.831,10.195,1.820,1.050,-50.10008239746094,-26.371,-45.476,-71.847
exploit,18.385,9.650,0.807,9.080,0.900,1.600,-50.2633056640625,-28.868,-45.669,-74.537
exploit,17.985,9.650,0.426,8.824,0.906,1.600,-50.34326171875,-27.884,-42.509,-70.393
exploit,17.785,10.600,0.799,8.528,1.600,0.650,-50.06756591796875,-27.624,-41.731,-69.355
exploit,19.435,9.800,1.810,10.207,1.485,1.450,-50.47540283203125,-29.586,-46.192,-75.778
exploit,17.435,9.400,0.510,8.202,0.738,2.018,-50.5316162109375,-27.246,-42.047,-69.293
exploit,18.535,9.800,1.277,9.244,1.061,1.450,-50.4068603515625,-29.063,-47.963,-77.026
exploit,17.935,9.550,0.325,8.743,0.814,1.600,-50.15673828125,-27.188,-46.191,-73.379
exploit,19.635,10.200,1.925,10.352,1.914,1.050,-50.52815246582031,-27.289,-45.384,-72.673
exploit,19.485,9.750,1.817,10.264,1.487,1.500,-50.123382568359375,-28.033,-47.335,-75.368
exploit,17.985,9.700,0.584,8.698,0.955,1.550,-50.50830078125,-27.913,-44.915,-72.828
exploit,19.435,10.150,1.684,10.227,1.750,1.100,-50.19935607910156,-25.93,-45.126,-71.056
exploit,17.485,9.400,0.684,8.384,0.763,2.052,-50.60760498046875,-27.422,-42.023,-69.445
exploit,17.685,10.800,0.603,8.628,1.600,0.450,-50.0345458984375,-25.488,-42.392,-67.88
exploit,18.085,9.650,0.391,8.792,0.900,1.600,-50.131591796875,-27.333,-42.828,-70.161
exploit,19.635,9.900,1.833,10.407,1.699,1.350,-50.08062744140625,-27.772,-46.872,-74.644
exploit,17.735,9.500,0.338,8.611,0.828,1.600,-51.324951171875,-27.418,-42.819,-70.237
