type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,10.135,18.400,2.999,11.548,0.430,0.894,-0.4999999701976776,-30.021,-50.417,-80.438
exploit,10.985,18.050,2.179,10.758,0.700,0.850,-0.4999999701976776,-152.578,-54.28,-206.858
exploit,15.835,18.050,2.597,5.969,0.700,0.850,-0.4999999701976776,-131.822,-34.12,-165.942
exploit,14.635,18.150,1.582,6.958,0.600,0.950,-0.4999999701976776,-26.786,-38.989,-65.775
exploit,13.485,17.850,0.188,8.253,0.900,0.650,-0.4999999701976776,-140.264,-200,-340.264
exploit,12.885,18.050,0.379,8.927,0.700,0.850,-0.5002643465995789,-138.735,-38.035,-176.77
exploit,17.085,17.600,3.930,4.634,1.151,0.400,-0.5121849179267883,-135.023,-144.223,-279.246
exploit,17.085,17.600,3.920,4.572,1.151,0.400,-0.5088319182395935,-135.657,-142.457,-278.114
exploit,9.485,17.650,3.991,12.219,1.118,0.450,-0.8482663631439209,-31.169,-52.166,-83.335
exploit,9.185,17.650,4.008,12.581,1.100,0.450,-0.586613655090332,-31.97,-53.369,-85.339
exploit,11.785,17.600,1.294,9.849,1.150,0.400,-2.3096089363098145,-30.752,-48.051,-78.803
exploit,12.035,17.600,1.309,9.731,1.150,0.400,-2.218366861343384,-26.767,-48.767,-75.534
exploit,12.135,18.350,1.340,9.753,0.400,1.150,-6.312091827392578,-26.619,-44.419,-71.038
exploit,9.235,18.350,4.063,12.594,0.400,1.150,-6.525871753692627,-29.644,-54.245,-83.889
exploit,9.335,18.350,3.975,12.545,0.403,1.150,-6.998834609985352,-27.246,-52.847,-80.093
exploit,14.285,17.600,1.251,7.361,1.150,0.400,-6.779178142547607,-26.446,-38.548,-64.994
exploit,14.385,17.600,1.221,7.395,1.150,0.400,-6.8364577293396,-26.27,-36.065,-62.335
explore,14.335,18.050,1.406,7.157,0.700,0.850,-35.86968231201172,-137.144,-38.245,-175.389
exploit,16.685,18.350,3.441,5.044,0.400,1.150,-8.03210163116455,-132.883,-31.982,-164.865
explore,11.035,18.300,2.440,10.507,0.450,1.100,-60.299232482910156,-30.368,-48.079,-78.447
explore,16.885,18.150,3.694,4.902,0.600,0.950,-90.16419982910156,-134.243,-35.944,-170.187
exploit,10.235,17.600,3.102,11.616,1.160,0.400,-10.863466262817383,-34.184,-51.483,-85.667
exploit,10.235,17.600,3.076,11.591,1.160,0.400,-10.758974075317383,-29.955,-48.954,-78.909
exploit,15.135,17.600,1.946,6.518,1.150,0.400,-15.284062385559082,-26.313,-36.315,-62.628
exploit,15.185,17.650,2.021,6.558,1.100,0.450,-18.113231658935547,-30.746,-42.546,-73.292
exploit,16.185,17.600,3.004,5.564,1.150,0.400,-23.44193458557129,-151.67,-33.868,-185.538
exploit,16.285,17.600,3.060,5.437,1.150,0.400,-23.887969970703125,-132.263,-36.862,-169.125
exploit,15.285,18.350,2.148,6.472,0.400,1.150,-26.007251739501953,-30.783,-40.782,-71.565
exploit,15.385,18.350,2.052,6.439,0.400,1.150,-24.582378387451172,-32.203,-40.404,-72.607
exploit,13.985,18.350,0.829,7.766,0.400,1.150,-26.628013610839844,-25.864,-39.165,-65.029
exploit,13.885,18.350,0.871,7.856,0.400,1.150,-26.13646697998047,-25.625,-37.626,-63.251
exploit,9.785,18.950,3.585,11.998,0.450,0.550,-30.871644973754883,-28.358,-57.759,-86.117
exploit,9.935,18.950,3.402,11.811,0.400,0.600,-32.60988235473633,-136.358,-47.359,-183.717
exploit,12.385,18.350,0.931,9.400,0.400,1.150,-33.57141876220703,-25.692,-40.384,-66.076
exploit,12.435,18.350,0.999,9.322,0.400,1.150,-32.94589614868164,-28.177,-46.777,-74.954
exploit,11.485,17.600,1.807,10.297,1.150,0.400,-35.773658752441406,-33.176,-49.475,-82.651
exploit,11.385,17.600,1.782,10.339,1.150,0.400,-35.752281188964844,-28.672,-46.974,-75.646
exploit,12.535,17.600,0.821,9.333,1.150,0.400,-34.89783477783203,-28.743,-44.143,-72.886
exploit,12.485,17.600,1.007,9.234,1.150,0.400,-33.21135711669922,-28.472,-44.071,-72.543
exploit,10.285,17.600,2.696,10.983,1.154,0.400,-36.885780334472656,-30.656,-51.752,-82.408
