type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,12.600,17.950,1.287,7.314,0.800,0.850,-952.58349609375,-131.3,-35.001,-166.301
explore,9.850,18.450,1.766,9.463,0.583,0.671,-370.86346435546875,-1015.27,-1015.27,-2030.54
explore,12.100,17.750,1.178,7.407,1.000,0.650,-896.4525146484375,-1015.86,-1015.86,-2031.71
explore,12.950,18.050,1.819,6.769,0.700,0.950,-1305.431396484375,-1013.3,-1013.3,-2026.6
explore,9.250,17.650,2.009,10.582,1.100,0.550,-1189.4744873046875,-1022.77,-1022.77,-2045.55
explore,11.700,17.800,0.606,8.157,0.950,0.700,-839.2611083984375,-135.822,-37.922,-173.744
explore,9.550,18.200,1.719,10.275,0.626,1.100,-387.14215087890625,-28.321,-47.514,-75.835
explore,12.700,17.650,1.527,6.919,1.100,0.550,-1299.621337890625,-1013.45,-1013.45,-2026.9
explore,9.950,17.450,1.451,9.791,1.360,0.350,-550.3302001953125,-26.638,-43.139,-69.777
explore,10.850,18.100,0.596,8.798,0.650,1.000,-740.2536010742188,-26.766,-39.962,-66.728
explore,10.250,18.200,1.139,9.577,0.559,1.100,-998.1065673828125,-1015.84,-1015.84,-2031.68
explore,12.600,17.850,1.320,7.262,0.900,0.750,-1086.7879638671875,-133.17,-36.591,-169.761
explore,12.250,17.550,0.917,7.683,1.200,0.450,-1042.4033203125,-1014.33,-1014.33,-2028.65
explore,10.600,17.900,0.474,8.991,0.850,0.800,-539.92236328125,-1017.36,-1017.36,-2034.72
explore,10.800,18.250,0.672,9.058,0.500,1.150,-1030.6094970703125,-25.984,-40.682,-66.666
explore,11.050,17.800,0.275,8.705,0.950,0.700,-338.72906494140625,-1013.9,-1013.9,-2027.81
explore,13.250,18.200,1.856,6.717,0.550,1.100,-977.4065551757812,-1013.97,-1013.97,-2027.94
explore,11.150,18.050,0.408,8.783,0.700,0.950,-681.73974609375,-26.542,-39.84,-66.382
explore,12.350,17.750,0.755,7.770,1.000,0.650,-1163.801025390625,-1014.34,-1014.34,-2028.68
explore,11.750,17.750,0.230,8.487,1.000,0.650,-607.0140380859375,-36.139,-135.934,-172.073
explore,11.200,17.500,0.517,8.552,1.250,0.400,-258.516845703125,-26.114,-40.112,-66.226
explore,13.250,17.700,1.708,6.860,1.050,0.600,-1589.429931640625,-1011.85,-1011.85,-2023.71
explore,10.100,18.400,1.331,9.764,0.430,0.919,-674.4825439453125,-28.523,-52.786,-81.309
explore,13.150,17.600,1.811,6.778,1.150,0.500,-1582.5518798828125,-1012.29,-1012.29,-2024.57
explore,11.650,18.100,0.318,8.624,0.650,1.000,-239.36700439453125,-27.152,-42.353,-69.505
explore,11.650,17.450,0.236,8.024,1.300,0.350,-432.7366638183594,-1015.53,-1015.53,-2031.06
explore,11.650,18.100,0.431,8.177,0.650,1.000,-335.81146240234375,-1015.54,-1015.54,-2031.09
explore,13.100,17.800,1.811,6.763,0.950,0.700,-1763.6849365234375,-132.698,-35.011,-167.709
explore,11.200,17.750,0.615,8.948,1.000,0.650,-798.6439819335938,-1016.76,-1016.76,-2033.51
explore,13.100,18.350,1.956,6.598,0.400,1.250,-554.4112548828125,-25.619,-34.301,-59.92
explore,12.500,17.650,1.570,7.062,1.100,0.550,-1436.5567626953125,-1014.15,-1014.15,-2028.3
explore,10.300,18.250,0.891,9.379,0.502,1.150,-1297.1219482421875,-25.865,-40.667,-66.532
explore,10.650,17.550,0.743,9.065,1.200,0.450,-661.5716552734375,-25.456,-42.863,-68.319
explore,9.750,17.700,1.763,10.026,1.163,0.600,-1512.727294921875,-1017.65,-1017.65,-2035.29
explore,13.100,18.100,1.838,6.755,0.650,1.000,-1318.560791015625,-1014.16,-1014.16,-2028.31
explore,11.900,17.800,0.449,7.844,0.950,0.700,-1124.21142578125,-135.553,-37.443,-172.996
explore,10.950,18.050,0.495,8.927,0.700,0.950,-808.342041015625,-1016.61,-1016.61,-2033.21
explore,12.200,18.050,1.218,7.234,0.700,0.950,-641.9010620117188,-1014.94,-1014.94,-2029.89
explore,11.300,17.900,0.242,8.395,0.850,0.800,-589.3521728515625,-137.259,-38.726,-175.985
explore,11.200,18.100,0.066,8.526,0.650,1.000,-300.26220703125,-1015.17,-1015.17,-2030.34
explore,11.950,17.650,0.510,7.896,1.100,0.550,-1065.4873046875,-1020.37,-1020.37,-2040.74
explore,11.750,17.800,0.618,7.949,0.950,0.700,-1001.561279296875,-136.073,-40.173,-176.246
exploit,11.050,17.500,0.462,8.771,1.250,0.400,-180.39913940429688,-1015.1,-1015.1,-2030.2
exploit,9.450,18.250,1.904,10.322,0.539,1.150,-47.24395751953125,-1020.61,-1020.61,-2041.23
explore,9.650,17.600,1.681,10.155,1.218,0.500,-1469.4639892578125,-28.665,-45.164,-73.829
exploit,12.700,18.400,1.596,7.137,0.350,1.300,-251.22805786132812,-25.924,-36.727,-62.651
exploit,13.300,18.400,1.983,6.417,0.350,1.300,-178.5977783203125,-25.563,-34.761,-60.324
exploit,10.850,17.450,0.653,8.870,1.300,0.350,-311.27667236328125,-26.442,-40.523,-66.965
exploit,10.000,17.450,1.368,9.812,1.346,0.350,-314.389892578125,-26.752,-42.65,-69.402
