type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,11.650,18.200,0.734,7.826,0.550,1.100,-349.4376220703125,-1014.81,-1014.81,-2029.62
exploit,11.900,18.250,0.648,7.935,0.500,1.150,-294.59130859375,-27.434,-38.724,-66.158
exploit,11.300,17.500,0.220,8.553,1.250,0.400,-292.7431640625,-1016.22,-1016.22,-2032.45
exploit,11.550,17.450,0.514,8.526,1.300,0.350,-353.7901916503906,-27.091,-39.495,-66.586
exploit,9.900,18.450,1.365,9.887,0.541,0.716,-333.74713134765625,-24.532,-46.533,-71.065
exploit,9.950,18.450,1.521,9.791,0.500,0.762,-305.9629211425781,-24.564,-45.457,-70.021
exploit,9.950,18.400,1.318,9.824,0.532,0.783,-248.7655029296875,-1021.23,-1021.23,-2042.46
exploit,9.950,18.400,1.450,9.899,0.532,0.783,-194.50897216796875,-25.43,-45.436,-70.866
exploit,12.500,18.400,1.355,7.383,0.350,1.300,-333.416015625,-139.114,-45.015,-184.129
exploit,12.550,18.400,1.251,7.194,0.350,1.300,-313.595703125,-25.545,-36.341,-61.886
exploit,12.350,18.400,1.244,7.431,0.350,1.300,-331.79345703125,-26.93,-37.128,-64.058
exploit,12.100,18.400,0.913,7.716,0.350,1.300,-410.390625,-25.432,-40.138,-65.57
explore,9.700,17.550,1.608,10.064,1.282,0.450,-733.5429077148438,-29.595,-44.389,-73.984
exploit,12.600,18.400,1.476,7.206,0.350,1.300,-342.685546875,-25.366,-36.468,-61.834
exploit,9.900,17.700,1.442,9.840,1.142,0.600,-321.35125732421875,-1018.67,-1018.67,-2037.33
exploit,12.050,18.350,1.166,7.400,0.400,1.250,-340.5556640625,-25.844,-38.343,-64.187
exploit,12.400,18.400,1.333,7.167,0.350,1.300,-313.594970703125,-25.33,-39.738,-65.068
exploit,12.450,18.350,1.331,7.303,0.400,1.250,-328.183837890625,-25.453,-36.655,-62.108
exploit,11.550,17.500,1.486,7.081,1.250,0.400,-421.61456298828125,-1014.92,-1014.92,-2029.85
exploit,12.600,18.400,1.495,7.165,0.350,1.300,-325.88427734375,-25.361,-38.761,-64.122
exploit,12.400,18.350,1.365,7.224,0.400,1.250,-333.05517578125,-25.914,-37.614,-63.528
exploit,12.400,18.400,1.336,7.356,0.350,1.300,-243.74853515625,-25.65,-37.351,-63.001
exploit,12.250,18.400,1.204,7.467,0.350,1.300,-274.27978515625,-26.053,-38.157,-64.21
exploit,12.450,18.400,1.329,7.364,0.350,1.300,-226.67822265625,-25.624,-37.724,-63.348
exploit,12.550,18.400,1.400,7.203,0.350,1.300,-254.05126953125,-25.49,-37.192,-62.682
exploit,13.000,18.400,1.410,7.284,0.350,1.300,-218.324462890625,-27.438,-40.356,-67.794
exploit,12.400,18.400,1.383,7.404,0.350,1.300,-202.54443359375,-25.629,-37.328,-62.957
exploit,12.450,18.400,1.437,7.289,0.350,1.300,-202.5625,-25.784,-37.285,-63.069
exploit,12.250,18.400,1.172,7.312,0.350,1.300,-189.28515625,-25.674,-37.475,-63.149
exploit,12.350,18.400,1.355,7.434,0.350,1.300,-189.697021484375,-25.645,-37.149,-62.794
exploit,12.800,18.400,1.211,7.345,0.350,1.300,-188.98486328125,-26.951,-37.937,-64.888
exploit,12.600,18.400,1.112,7.381,0.350,1.300,-200.030517578125,-25.87,-37.171,-63.041
exploit,12.550,18.400,1.367,7.284,0.350,1.300,-182.759765625,-25.798,-38.971,-64.769
exploit,12.500,18.350,1.433,7.299,0.400,1.250,-235.56982421875,-25.509,-36.806,-62.315
exploit,12.300,18.400,1.088,7.520,0.350,1.300,-264.500732421875,-25.911,-39.711,-65.622
exploit,12.850,18.350,1.220,7.321,0.400,1.250,-230.10498046875,-27.482,-38.18,-65.662
exploit,12.350,18.350,1.222,7.379,0.400,1.250,-233.19384765625,-26.332,-36.932,-63.264
exploit,12.400,18.400,1.190,7.258,0.350,1.300,-154.7314453125,-25.6,-38.708,-64.308
exploit,12.650,18.400,1.390,7.168,0.350,1.300,-228.498779296875,-25.991,-36.089,-62.08
exploit,12.500,18.400,1.133,7.110,0.350,1.300,-160.9814453125,-25.454,-37.256,-62.71
exploit,12.400,18.400,1.174,7.379,0.350,1.300,-161.830078125,-26.238,-40.954,-67.192
exploit,12.500,18.400,1.384,7.337,0.350,1.300,-149.332275390625,-25.344,-37.737,-63.081
exploit,12.400,18.350,1.364,7.365,0.400,1.250,-200.3642578125,-26.182,-36.885,-63.067
exploit,12.300,18.350,1.234,7.418,0.400,1.250,-221.860595703125,-25.72,-38.821,-64.541
exploit,12.450,18.400,1.252,7.428,0.350,1.300,-164.300537109375,-25.693,-37.681,-63.374
exploit,12.350,18.400,1.439,7.320,0.350,1.300,-141.04150390625,-25.562,-36.862,-62.424
exploit,12.400,18.350,1.388,7.298,0.400,1.250,-197.972900390625,-25.426,-36.326,-61.752
exploit,12.750,18.400,1.029,7.397,0.350,1.300,-161.51611328125,-26.787,-38.176,-64.963
exploit,12.350,18.350,1.208,7.463,0.400,1.250,-226.852294921875,-26.821,-37.11,-63.931
exploit,12.500,18.400,1.371,7.269,0.350,1.300,-147.318115234375,-25.595,-37.395,-62.99
exploit,12.550,18.350,1.223,7.379,0.400,1.250,-187.021484375,-26.404,-37.402,-63.806
exploit,12.250,18.400,1.295,7.377,0.350,1.300,-128.20556640625,-25.22,-37.815,-63.035
exploit,12.500,18.400,1.332,7.226,0.350,1.300,-154.88330078125,-25.258,-36.759,-62.017
explore,9.200,18.100,2.006,10.531,0.650,1.000,-761.8868408203125,-1019.12,-1019.12,-2038.25
exploit,12.350,18.400,1.198,7.447,0.350,1.300,-158.08056640625,-25.528,-37.138,-62.666
exploit,12.350,18.400,1.155,7.446,0.350,1.300,-165.185791015625,-25.848,-37.942,-63.79
exploit,12.550,18.400,1.296,7.306,0.350,1.300,-121.0849609375,
