type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,10.135,18.400,2.999,11.548,0.430,0.894,-0.4999999701976776,-30.021,-50.417,-80.438
exploit,10.985,18.050,2.179,10.758,0.700,0.850,-0.4999999701976776,-152.578,-54.28,-206.858
explore,11.535,18.250,1.787,10.214,0.500,1.050,-0.5272118449211121,-1017,-1017,-2034
exploit,15.435,18.300,2.178,6.232,0.450,1.100,-0.4999999701976776,-1016.11,-1016.11,-2032.22
exploit,10.585,17.650,2.623,11.097,1.100,0.450,0.9029622077941895,-1020.02,-1020.02,-2040.04
exploit,17.135,17.650,3.955,4.615,1.105,0.450,-0.5004075169563293,-134.245,-35.245,-169.49
exploit,9.385,18.350,3.938,12.335,0.412,1.150,-0.17686855792999268,-27.406,-53.506,-80.912
exploit,9.335,18.250,3.892,12.405,0.502,1.050,-0.21612581610679626,-1020.82,-1020.82,-2041.64
exploit,13.485,17.650,0.306,8.164,1.100,0.450,-0.5001539587974548,-1015.92,-1015.92,-2031.84
exploit,13.685,17.650,0.478,8.016,1.100,0.450,-0.5003089308738708,-1013.75,-1013.75,-2027.5
exploit,16.385,18.350,3.409,5.096,0.400,1.150,-5.346276760101318,-26.786,-29.175,-55.961
explore,12.085,18.150,1.177,9.560,0.600,0.950,-168.71652221679688,-1015.65,-1015.65,-2031.3
exploit,16.385,17.600,3.100,5.482,1.150,0.400,-9.730613708496094,-1013.8,-1013.8,-2027.6
exploit,16.235,17.600,2.882,5.416,1.150,0.400,-11.58073616027832,-30.202,-33.804,-64.006
exploit,17.335,18.400,3.931,4.390,0.461,0.850,-20.531116485595703,-131.885,-33.794,-165.679
exploit,17.035,18.350,3.671,4.673,0.400,1.150,-18.054065704345703,-137.003,-139.721,-276.724
exploit,14.885,17.650,1.478,6.971,1.100,0.450,-24.00515365600586,-1012.11,-1012.11,-2024.22
exploit,14.335,18.350,1.144,7.429,0.400,1.150,-23.095355987548828,-26.104,-36.706,-62.81
explore,11.585,17.600,1.508,10.026,1.150,0.400,-230.02952575683594,-29.935,-48.733,-78.668
exploit,9.885,17.600,3.527,12.014,1.254,0.400,-81.32698059082031,-29.565,-58.267,-87.832
exploit,16.535,18.350,3.442,5.219,0.400,1.150,-82.62661743164062,-134.5,-139.401,-273.901
exploit,14.135,18.350,1.023,7.492,0.400,1.150,-64.9178695678711,-26.002,-37.004,-63.006
explore,10.785,17.600,2.481,11.005,1.150,0.400,-924.6785278320312,-1022.07,-1022.07,-2044.14
exploit,14.185,18.300,1.083,7.546,0.450,1.100,-86.52954864501953,-1012.93,-1012.93,-2025.85
explore,12.235,17.700,0.700,7.623,1.050,0.500,-794.0393676757812,-1020.71,-1020.71,-2041.42
explore,12.235,18.250,1.092,9.373,0.500,1.050,-888.6036987304688,-1015.66,-1015.66,-2031.32
exploit,10.685,18.300,2.606,11.013,0.450,1.100,-126.44385528564453,-1022.69,-1022.69,-2045.39
exploit,10.185,18.400,3.030,11.523,0.403,0.939,-85.78500366210938,-25.428,-47.827,-73.255
explore,11.335,17.900,1.821,10.385,0.850,0.700,-500.694580078125,-152.656,-170.448,-323.104
exploit,10.085,18.450,3.513,11.671,0.424,0.828,-69.31047058105469,-28.18,-50.68,-78.86
exploit,9.935,18.750,3.449,11.832,0.403,0.602,-89.09037780761719,-148.362,-48.472,-196.834
exploit,10.085,18.500,3.233,11.645,0.391,0.808,-41.47636413574219,-24.648,-61.768,-86.416
explore,13.935,17.600,0.811,7.846,1.150,0.400,-1319.849365234375,-29.384,-39.787,-69.171
exploit,9.785,17.600,3.491,11.975,1.254,0.400,-83.56137084960938,-1023.5,-1023.5,-2047
exploit,11.635,17.600,1.604,10.140,1.150,0.400,-105.0005874633789,-29.549,-46.543,-76.092
exploit,9.935,18.800,3.386,11.563,0.400,0.600,-91.35835266113281,-1012.92,-1012.92,-2025.84
exploit,10.135,18.450,3.094,11.637,0.391,0.873,-101.23393249511719,-27.554,-48.356,-75.91
exploit,17.085,18.000,3.920,4.631,0.752,0.800,-143.81158447265625,-133.312,-144.114,-277.426
exploit,11.435,17.600,1.691,10.223,1.150,0.400,-91.26905822753906,-1018.68,-1018.68,-2037.36
