type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,10.685,18.350,-2.560,10.906,0.400,1.150,-65.86474609375,-26.37,-46.77,-73.14
explore,9.135,18.000,-3.895,12.414,0.750,0.800,-1410.09033203125,-1026.85,-1026.85,-2053.71
exploit,10.785,18.300,-2.461,10.940,0.450,1.100,-83.48634338378906,-29.111,-45.812,-74.923
exploit,10.685,18.350,-2.501,11.066,0.400,1.150,-68.47154998779297,-29.331,-48.529,-77.86
explore,12.085,17.850,-1.143,9.535,0.900,0.650,-1298.643310546875,-1021,-1021,-2042.01
explore,11.485,17.700,-1.813,10.192,1.050,0.500,-707.9484252929688,-1019.77,-1019.77,-2039.54
exploit,10.735,18.350,-2.444,10.914,0.400,1.150,-70.491943359375,-24.574,-48.178,-72.752
exploit,10.585,18.300,-2.559,11.051,0.450,1.100,-83.01262664794922,-28.173,-47.392,-75.565
explore,18.785,18.400,5.477,3.213,0.532,0.763,-822.0650634765625,-27.579,-28.374,-55.953
exploit,14.435,18.350,1.321,7.373,0.400,1.150,-60.32359313964844,-25.01,-37.91,-62.92
exploit,14.485,18.350,1.284,7.264,0.400,1.150,-72.9173355102539,-25.108,-38.306,-63.414
exploit,10.935,18.350,-2.519,10.926,0.400,1.150,-66.93508911132812,-27.895,-47.697,-75.592
exploit,14.335,18.350,1.330,7.384,0.400,1.150,-57.47895050048828,-25.272,-36.566,-61.838
explore,15.785,18.000,2.563,5.960,0.750,0.800,-1237.2615966796875,-1011.88,-1011.88,-2023.75
explore,19.785,17.950,6.538,1.966,0.800,0.750,-304.76837158203125,-27.112,-27.509,-54.621
explore,16.035,17.850,2.809,5.694,0.900,0.650,-1273.7601318359375,-1010.17,-1010.17,-2020.34
exploit,10.785,18.350,-2.657,10.979,0.400,1.150,-67.29705810546875,-27.639,-47.169,-74.808
exploit,10.485,18.350,-2.592,11.044,0.400,1.150,-69.27291107177734,-27.88,-47.483,-75.363
explore,20.035,18.100,6.827,1.772,0.650,0.900,-500.3419189453125,-29.194,-35.79,-64.984
exploit,10.835,18.350,-2.486,10.939,0.400,1.150,-69.73085021972656,-26.164,-46.449,-72.613
explore,17.485,17.850,4.309,3.727,1.006,0.650,-905.4625854492188,-29.082,-36.385,-65.467
exploit,14.585,18.350,1.354,7.262,0.400,1.150,-72.96561431884766,-28.395,-37.094,-65.489
explore,18.835,18.800,5.831,2.925,0.450,0.600,-156.416748046875,-132.962,-51.571,-184.533
explore,9.685,18.400,-3.785,12.101,0.532,0.763,-1246.4501953125,-29.622,-52.631,-82.253
exploit,10.735,18.350,-2.550,11.069,0.400,1.150,-70.1981201171875,-26.049,-48.35,-74.399
exploit,10.735,18.350,-2.449,10.967,0.400,1.150,-70.03791809082031,-26.895,-45.095,-71.99
explore,19.485,17.850,6.289,2.244,0.900,0.650,-260.0266418457031,-135.99,-38.113,-174.103
exploit,14.385,18.350,1.228,7.309,0.400,1.150,-70.00318145751953,-25.543,-36.026,-61.569
explore,14.635,18.150,1.603,6.858,0.600,0.950,-423.517578125,-1014.59,-1014.59,-2029.17
exploit,10.635,18.350,-2.537,11.000,0.400,1.150,-68.77822875976562,-28.245,-49.844,-78.089
exploit,10.935,18.300,-2.398,10.947,0.450,1.100,-88.55575561523438,-28.444,-46.328,-74.772
exploit,14.335,18.350,1.163,7.455,0.400,1.150,-67.80126953125,-26.2,-38.809,-65.009
exploit,14.335,18.350,1.126,7.411,0.400,1.150,-76.76162719726562,-27.793,-37.993,-65.786
explore,11.085,17.700,-2.344,10.627,1.050,0.500,-627.9970703125,-1019.94,-1019.94,-2039.89
explore,16.585,18.300,3.380,5.140,0.450,1.100,-552.1893310546875,-28.191,-31.386,-59.577
explore,17.685,18.450,4.451,4.122,0.532,0.695,-892.4337158203125,-1009.83,-1009.83,-2019.66
exploit,9.285,18.350,-2.555,11.009,0.400,1.150,-64.93861389160156,-28.556,-52.657,-81.213
exploit,14.385,18.350,1.302,7.392,0.400,1.150,-56.89129638671875,-26.72,-35.329,-62.049
explore,17.585,18.650,4.531,4.233,0.522,0.522,-1133.88134765625,-1014.05,-1014.05,-2028.1
exploit,10.585,18.350,-2.675,11.082,0.400,1.150,-70.31498718261719,-27.163,-58.471,-85.634
explore,16.235,18.100,2.867,5.666,0.650,0.900,-1111.8480224609375,-132.42,-34.923,-167.343
exploit,14.185,18.350,1.277,7.295,0.400,1.150,-92.75326538085938,-25.14,-38.339,-63.479
explore,21.335,18.050,7.949,0.646,0.700,0.850,-1102.4051513671875,-28.522,-28.522,-57.044
exploit,10.635,18.350,-2.596,11.085,0.400,1.150,-66.43894958496094,-26.64,-47.741,-74.381
explore,11.135,18.350,-2.161,10.570,0.400,1.150,-267.22528076171875,-27.169,-46.157,-73.326
exploit,14.385,18.350,1.354,7.383,0.400,1.150,-55.1168212890625,-26.061,-36.455,-62.516
explore,10.385,17.650,-2.886,11.258,1.100,0.450,-629.939697265625,-26.966,-45.363,-72.329
explore,9.085,18.100,-3.972,12.512,0.650,0.900,-1385.0855712890625,-1022.04,-1022.04,-2044.08
explore,20.785,18.300,7.594,0.988,0.450,1.100,-418.5684814453125,-134.211,-166.351,-300.562
explore,13.835,17.600,0.734,7.896,1.150,0.400,-1101.167236328125,-1012.85,-1012.85,-2025.7
explore,16.635,18.250,3.066,4.892,0.500,1.050,-490.2726135253906,-27.132,-31.226,-58.358
exploit,14.385,18.350,1.278,7.395,0.400,1.150,-56.404815673828125,-25.258,-37.558,-62.816
explore,16.785,17.850,3.496,4.909,0.900,0.650,-912.5617065429688,-1015.17,-1015.17,-2030.33
exploit,15.985,18.350,3.045,5.556,0.400,1.150,-65.79547119140625,-26.787,-32.69,-59.477
explore,20.285,18.150,6.990,1.560,0.600,0.950,-553.7100219726562,-134.878,-38.975,-173.853
explore,13.485,18.200,0.546,8.219,0.550,1.000,-595.0687255859375,-1013.37,-1013.37,-2026.74
exploit,16.335,18.350,3.155,5.447,0.400,1.150,-67.55592346191406,-29.799,-36.199,-65.998
explore,13.935,17.850,0.786,7.807,0.900,0.650,-1516.83740234375,-1013.95,-1013.95,-2027.89
explore,12.985,18.350,-0.448,8.812,0.400,1.150,-355.47625732421875,-25.059,-44.162,-69.221
explore,19.335,17.900,6.017,2.346,0.863,0.700,-408.9601745605469,-133.209,-40.008,-173.217
exploit,10.835,18.350,-2.426,10.981,0.400,1.150,-64.14063262939453,-25.562,-47.759,-73.321
explore,9.685,17.900,-3.488,11.998,0.939,0.700,-1342.9112548828125,-1023.76,-1023.76,-2047.51
explore,20.485,17.850,7.361,1.144,0.900,0.650,-463.1123046875,-32.521,-39.929,-72.45
explore,13.985,17.600,0.868,7.717,1.150,0.400,-1471.99560546875,-26.247,-39.15,-65.397
exploit,14.435,18.350,1.254,7.366,0.400,1.150,-67.64173889160156,-26.086,-35.885,-61.971
exploit,14.335,18.350,1.211,7.451,0.400,1.150,-78.76495361328125,-27.836,-37.038,-64.874
explore,17.385,18.050,3.977,4.437,0.783,0.850,-1122.414794921875,-26.896,-29.495,-56.391
explore,10.485,17.600,-2.848,11.391,1.150,0.400,-455.50531005859375,-26.908,-50.011,-76.919
explore,17.435,18.300,4.139,4.326,0.602,0.820,-1015.6417236328125,-30.116,-31.923,-62.039
exploit,14.385,18.350,1.230,7.438,0.400,1.150,-69.68504333496094,-25.252,-37.135,-62.387
exploit,10.785,18.350,-2.479,10.971,0.400,1.150,-66.96464538574219,-27.906,-48.205,-76.111
explore,12.685,18.300,-0.699,9.026,0.450,1.100,-285.9860534667969,-25.16,-40.56,-65.72
explore,16.785,18.100,3.501,4.939,0.650,0.900,-932.7010498046875,-30.061,-36.461,-66.522
exploit,10.685,18.300,-2.622,11.031,0.450,1.100,-94.38864135742188,-27.575,-48.276,-75.851
exploit,16.985,18.350,3.736,4.738,0.400,1.150,56.316558837890625,-1010.67,-1010.67,-2021.34
exploit,17.085,18.350,3.730,4.501,0.403,1.150,63.67829895019531,-26.513,-30.514,-57.027
explore,20.085,17.950,6.622,1.599,0.800,0.750,-102.82595825195312,-1010.43,-1010.43,-2020.86
