type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,12.324,18.669,1.228,9.452,0.082,0.644,-61.17573547363281,-100,-39.994,-139.994
exploit,14.243,17.287,1.145,7.537,0.946,0.088,-66.2720947265625,-100,-39.93,-139.93
explore,14.816,17.617,1.540,6.965,1.133,0.417,-77.06560516357422,-1000,-1000,-2000
exploit,13.336,17.954,0.029,8.388,0.796,0.754,-66.4753646850586,-100,-29.55,-129.55
exploit,11.316,18.654,2.121,10.546,0.098,0.540,-62.680702209472656,-100,-40.341,-140.341
exploit,14.049,18.653,1.035,7.706,0.098,0.693,-66.0531997680664,-100,-40.073,-140.073
exploit,14.051,18.633,1.008,7.686,0.118,0.892,-68.01371002197266,-100,-39.015,-139.015
exploit,12.825,18.567,0.766,8.935,0.184,1.367,-67.7310791015625,-100,-40.472,-140.472
exploit,12.385,17.224,1.158,9.393,1.526,0.024,-63.60232925415039,-100,-40.364,-140.364
exploit,12.897,17.284,0.770,8.878,0.644,0.085,-66.88198852539062,-100,-39.883,-139.883
exploit,11.917,17.882,1.415,9.810,0.868,0.682,-68.75418090820312,-1000,-1000,-2000
exploit,11.987,17.978,1.315,9.759,0.772,0.778,-69.06358337402344,-100,-42.208,-142.208
exploit,12.958,18.208,0.401,8.886,0.543,1.008,-67.9203872680664,-20.477,-32.88,-53.357
exploit,11.328,17.322,2.081,10.404,1.428,0.122,-69.96681213378906,-100,-39.926,-139.926
exploit,15.187,17.305,1.970,6.593,1.445,0.105,-70.93577575683594,-100,-39.107,-139.107
exploit,15.159,17.214,1.994,6.619,0.029,0.028,-70.3454818725586,-100,-100,-200
exploit,14.034,18.691,0.980,7.705,0.059,1.491,-70.29075622558594,-100,-39.885,-139.885
exploit,12.735,18.057,0.578,9.008,0.693,0.857,-72.0433349609375,-21.86,-34.961,-56.821
exploit,12.814,18.178,0.576,8.999,0.573,0.978,-69.64088439941406,-21.949,-35.251,-57.2
exploit,12.834,18.196,0.558,8.921,0.554,0.996,-69.36033630371094,-20.262,-32.063,-52.325
exploit,12.772,18.199,0.588,8.978,0.551,0.999,-67.18679809570312,-24.265,-37.163,-61.428
exploit,12.723,18.221,0.656,9.073,0.529,1.021,-66.15177917480469,-20.314,-32.611,-52.925
exploit,12.689,18.151,0.644,9.050,0.599,0.951,-65.59371948242188,-26.419,-39.609,-66.028
exploit,12.796,18.173,0.599,8.954,0.577,0.973,-64.9541015625,-20.302,-32.501,-52.803
exploit,12.869,18.153,0.498,8.995,0.597,0.953,-60.79216003417969,-20.113,-31.712,-51.825
exploit,15.437,17.830,1.996,6.184,0.920,0.630,-64.59288024902344,-100,-100,-200
exploit,12.843,18.192,0.516,8.923,0.558,0.992,-62.32521438598633,-22.5,-35.801,-58.301
exploit,12.871,18.121,0.475,8.990,0.629,0.921,-59.585174560546875,-20.155,-32.553,-52.708
exploit,12.728,18.118,0.594,9.018,0.632,0.918,-62.22418975830078,-25.357,-38.86,-64.217
explore,11.858,17.609,1.491,9.880,1.141,0.410,-88.40081787109375,-23.794,-38.107,-61.901
exploit,12.761,18.165,0.591,9.064,0.586,0.965,-59.803497314453125,-20.42,-32.319,-52.739
exploit,14.734,18.694,1.516,6.899,0.056,1.494,-64.66071319580078,-100,-40.678,-140.678
