type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
explore,10.107,18.018,3.085,11.638,0.783,0.818,-82.67509460449219,-1000,-1000,-2000
explore,9.268,17.708,3.966,12.437,0.508,1.042,-61.326683044433594,-1000,-1000,-2000
explore,16.263,18.400,3.110,5.454,0.350,1.201,-76.64813995361328,-19.701,-21.8,-41.501
explore,9.548,18.829,3.804,12.136,0.214,0.787,-86.9171371459961,-100,-37.872,-137.872
explore,11.938,18.112,1.330,9.725,0.638,0.912,-85.87371063232422,-14.602,-45.203,-59.805
explore,16.972,17.497,3.795,4.749,0.298,1.253,-84.97553253173828,-22.863,-24.664,-47.527
explore,12.482,17.756,0.791,9.216,0.556,0.994,-81.5094985961914,-1000,-1000,-2000
explore,13.794,17.200,1.053,7.906,0.009,0.041,-33.99811935424805,-1000,-1000,-2000
explore,17.268,17.467,4.035,4.579,0.268,1.304,-58.9221305847168,-100,-24.972,-124.972
explore,15.927,17.700,2.692,5.850,0.500,1.050,-62.67924880981445,-1000,-1000,-2000
explore,15.146,17.629,1.956,6.614,0.429,1.121,-80.73092651367188,-1000,-1000,-2000
explore,12.793,18.610,0.698,8.973,0.140,1.410,-82.84821319580078,-100,-100,-200
explore,11.514,17.285,1.862,10.248,0.088,0.388,-52.60239028930664,-26.509,-100,-126.509
explore,12.394,18.041,0.768,9.349,0.709,0.841,-73.81193542480469,-1000,-1000,-2000
explore,15.854,18.436,2.644,5.893,0.314,1.237,-70.16720581054688,-21.403,-25.807,-47.21
explore,14.954,18.552,1.880,6.771,0.198,1.353,-79.6469497680664,-25.019,-100,-125.019
explore,9.416,18.399,3.766,12.338,0.374,1.031,-82.13541412353516,-14.306,-43.101,-57.407
explore,16.974,17.914,3.769,4.727,0.715,0.836,-85.51346588134766,-100,-26.001,-126.001
explore,10.627,18.623,2.554,11.077,0.127,1.423,-75.91252899169922,-41.601,-100,-141.601
explore,12.083,18.121,1.150,9.634,0.629,0.921,-85.27982330322266,-1000,-1000,-2000
explore,11.746,18.085,1.519,10.056,0.665,0.885,-84.1021499633789,-1000,-1000,-2000
explore,15.183,17.466,2.075,6.507,0.266,1.284,-85.92457580566406,-17.718,-24.307,-42.025
explore,10.515,17.885,2.730,11.227,0.685,0.865,-85.49713897705078,-14.626,-100,-114.626
explore,14.000,18.015,0.717,7.673,0.735,0.815,-84.27629852294922,-100,-28.701,-128.701
explore,10.828,17.365,2.488,10.937,0.165,1.385,-84.49870300292969,-24.901,-100,-124.901
explore,12.960,18.450,0.423,8.714,0.301,1.250,-86.63953399658203,-48.376,-100,-148.376
explore,10.187,18.427,2.994,11.560,0.379,0.930,-93.9094009399414,-14.305,-39.004,-53.309
explore,14.403,17.841,1.284,7.233,0.641,0.909,-76.63488006591797,-21.502,-100,-121.502
explore,15.420,17.842,2.273,6.324,0.642,0.909,-75.99232482910156,-100,-26.715,-126.715
explore,9.970,17.390,3.288,11.798,0.190,1.422,-70.48929595947266,-100,-36.804,-136.804
explore,15.312,17.283,2.229,6.400,0.086,0.338,-70.58051300048828,-30,-41.202,-71.202
explore,10.320,17.320,2.943,11.410,0.121,0.992,-85.23072814941406,-1000,-1000,-2000
explore,14.878,17.387,1.783,6.870,0.187,1.363,-77.86124420166016,-30.103,-100,-130.103
explore,10.552,18.274,2.619,11.117,0.476,1.074,-93.35493469238281,-14.502,-37.101,-51.603
explore,14.211,18.507,1.081,7.539,0.244,1.307,-85.30817413330078,-26.448,-100,-126.448
explore,14.183,17.718,1.096,7.564,0.518,1.032,-93.82068634033203,-1000,-1000,-2000
explore,15.478,18.091,2.231,6.199,0.659,0.891,-78.52115631103516,-26.101,-100,-126.101
explore,13.129,18.133,0.098,8.583,0.617,0.933,-66.63072967529297,-1000,-1000,-2000
explore,10.067,17.717,2.970,11.424,0.518,1.081,-89.37036895751953,-18.7,-100,-118.7
explore,15.602,17.794,2.407,5.988,0.594,0.956,-77.59654235839844,-1000,-1000,-2000
explore,10.022,18.204,3.119,11.630,0.655,0.999,-89.18268585205078,-1000,-1000,-2000
explore,9.872,17.730,3.434,11.861,0.530,1.142,-91.3553237915039,-1000,-1000,-2000
explore,10.120,18.807,3.153,11.552,0.215,0.785,-90.99414825439453,-100,-36.6,-136.6
explore,16.285,17.480,3.150,5.452,0.280,1.270,-70.95242309570312,-21.702,-25.001,-46.703
explore,13.389,18.012,0.245,8.350,0.738,0.812,-78.19068145751953,-100,-100,-200
explore,12.465,17.594,0.970,9.221,0.395,1.156,-92.40199279785156,-18.2,-32.7,-50.9
explore,10.230,17.499,3.025,11.470,0.299,1.261,-90.08578491210938,-1000,-1000,-2000
explore,11.557,17.778,1.669,10.105,0.579,0.972,-91.0279541015625,-100,-100,-200
explore,13.036,18.541,0.481,8.652,0.209,1.341,-88.70903015136719,-24.601,-100,-124.601
explore,9.303,17.759,3.860,12.464,0.559,0.991,-69.22168731689453,-14.5,-100,-114.5
explore,14.133,18.356,1.060,7.557,0.394,1.156,-94.5323257446289,-20.209,-28.202,-48.411
explore,14.075,17.401,1.094,7.616,0.201,1.349,-86.81124877929688,-24.802,-100,-124.802
explore,11.879,17.326,1.539,9.852,0.126,1.424,-75.357177734375,-48.905,-100,-148.905
explore,9.485,18.799,3.902,12.288,0.150,0.850,-80.2558364868164,-1000,-1000,-2000
explore,13.599,18.318,0.455,8.202,0.433,1.118,-98.61180877685547,-19.409,-29.002,-48.411
explore,10.510,17.568,2.730,11.271,0.369,1.182,-89.9598617553711,-14.625,-38.63,-53.255
explore,12.532,18.365,0.680,9.154,0.385,1.165,-88.23992156982422,-100,-100,-200
explore,14.867,18.102,1.740,6.853,0.648,0.902,-81.42308807373047,-100,-25.5,-125.5
explore,12.076,17.754,1.155,9.663,0.554,0.996,-89.33091735839844,-1000,-1000,-2000
explore,10.020,17.714,3.155,11.694,0.514,1.098,-92.55290222167969,-1000,-1000,-2000
explore,10.035,17.486,3.235,11.707,0.286,1.312,-88.2096939086914,-15.548,-39.748,-55.296
explore,12.617,17.265,0.966,9.167,0.068,0.289,-58.99605178833008,-26.308,-100,-126.308
explore,15.424,18.460,2.198,6.382,0.290,1.260,-82.42870330810547,-25.002,-100,-125.002
explore,17.146,17.939,3.966,4.562,0.739,0.819,-80.34321594238281,-100,-100,-200
explore,16.510,17.909,3.314,5.227,0.709,0.842,-78.8797836303711,-100,-100,-200
explore,11.849,17.330,1.543,9.869,0.130,1.243,-89.03751373291016,-1000,-1000,-2000
explore,14.357,18.264,1.146,7.472,0.487,1.064,-90.61279296875,-1000,-1000,-2000
explore,16.884,17.837,3.689,4.827,0.637,0.913,-94.76048278808594,-100,-100,-200
explore,16.476,18.439,3.286,5.195,0.311,1.239,-78.35948181152344,-20.703,-24.6,-45.303
explore,12.706,17.898,0.596,9.042,0.698,0.852,-82.99939727783203,-100,-100,-200
explore,13.854,18.574,0.889,7.781,0.177,1.374,-82.4477767944336,-100,-37.828,-137.828
explore,10.235,17.875,3.127,11.409,0.675,0.888,-88.19770050048828,-14.603,-47.206,-61.809
explore,9.240,17.404,3.971,12.502,0.204,1.346,-60.82780456542969,-100,-100,-200
explore,15.938,17.607,2.825,5.811,0.407,1.143,-67.99032592773438,-1000,-1000,-2000
explore,14.138,17.220,1.232,7.630,0.020,0.148,-66.5833969116211,-100,-100,-200
explore,11.364,18.611,1.933,10.366,0.140,0.939,-92.35637664794922,-27.8,-100,-127.8
explore,16.182,17.260,3.102,5.611,0.060,1.098,-62.89220428466797,-24.803,-100,-124.803
explore,11.352,18.149,1.951,10.260,0.601,0.949,-88.9281234741211,-1000,-1000,-2000
explore,9.528,18.070,3.694,12.241,0.722,0.870,-83.83177947998047,-1000,-1000,-2000
