type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,13.921,17.216,1.421,7.005,0.040,0.021,-19.324941635131836,-45.035,-137.437,-182.472
exploit,11.405,17.900,3.124,5.197,0.851,0.700,-30.96698760986328,-127.492,-35.097,-162.589
exploit,16.005,17.942,2.851,5.653,0.809,0.742,-31.620468139648438,-127.535,-35.636,-163.171
exploit,4.438,18.913,4.006,12.451,0.193,0.049,-23.785358428955078,-1014.3,-1014.3,-2028.61
exploit,8.998,17.802,0.029,8.099,0.949,0.602,-21.450973510742188,-1014.27,-1014.27,-2028.54
exploit,2.767,14.247,4.622,12.001,0.068,1.448,-10.619497299194336,-38.246,-133.245,-171.491
explore,7.439,17.206,2.069,6.747,1.297,0.806,-36.819297790527344,-147.189,-52.891,-200.08
exploit,7.842,18.684,0.849,8.110,0.066,1.195,-37.24597930908203,-42.102,-133.604,-175.706
exploit,7.586,18.391,1.817,10.284,0.359,1.556,-40.0131950378418,-30.655,-48.937,-79.592
exploit,10.450,18.625,1.834,10.167,0.126,1.093,-34.553977966308594,-1018.56,-1018.56,-2037.12
exploit,2.912,17.251,2.681,10.994,2.173,0.056,-14.451765060424805,-140.628,-48.619,-189.247
exploit,7.431,18.656,2.585,11.050,0.094,1.684,-41.601219177246094,-134.113,-50.612,-184.725
exploit,13.889,17.236,2.862,5.921,0.398,0.036,-41.09601974487305,-1013.48,-1013.48,-2026.97
explore,13.539,17.544,3.016,5.338,1.206,0.344,-67.71588897705078,-1011.51,-1011.51,-2023.01
exploit,7.679,17.633,2.939,11.337,1.117,1.150,-32.94024658203125,-1023.03,-1023.03,-2046.06
exploit,7.628,17.578,2.698,11.206,1.172,1.082,-33.623592376708984,-1023.55,-1023.55,-2047.1
exploit,9.148,18.613,3.559,11.976,0.137,1.414,-40.80567169189453,-1025.79,-1025.79,-2051.58
exploit,1.704,18.626,3.996,12.420,1.600,1.820,-22.440555572509766,-30.048,-51.95,-81.998
explore,15.134,17.620,3.361,5.165,1.130,0.420,-74.51898193359375,-1015.08,-1015.08,-2030.16
exploit,6.281,17.070,1.159,9.431,0.030,0.020,-36.037654876708984,-1119.69,-1119.69,-2239.38
exploit,11.605,17.350,1.003,9.401,1.140,0.151,-42.080318450927734,-1019.62,-1019.62,-2039.24
exploit,8.546,17.195,1.244,9.377,1.671,0.194,-36.984275817871094,-1014.92,-1014.92,-2029.84
exploit,1.848,15.196,4.728,12.601,0.987,1.600,-24.9580078125,-26.623,-62.003,-88.626
exploit,13.144,18.572,3.751,4.859,0.178,1.372,-46.53144073486328,-1013.13,-1013.13,-2026.27
exploit,7.839,17.244,0.953,8.219,1.208,0.901,-36.892822265625,-166.715,-145.111,-311.826
exploit,2.712,14.017,5.517,13.086,0.941,0.124,-5.543536186218262,-139.256,-47.756,-187.012
explore,4.004,18.404,2.522,11.014,0.592,1.093,-71.7994384765625,-1021.32,-1021.32,-2042.64
exploit,7.705,18.524,0.544,8.250,0.227,1.717,-41.395389556884766,-137.722,-47.731,-185.453
exploit,12.040,18.667,1.369,9.548,0.083,1.467,-45.79132080078125,-139.712,-49.111,-188.823
exploit,15.925,18.691,4.002,4.427,0.060,0.345,-37.37607955932617,-140.706,-50.731,-191.437
exploit,2.811,14.362,4.610,12.045,0.092,0.027,-31.902494430541992,-148.998,-139.126,-288.124
exploit,8.849,17.294,0.898,8.075,0.693,0.095,-43.346435546875,-1013.57,-1013.57,-2027.13
explore,10.109,17.205,2.153,10.615,0.027,0.024,-56.64510726928711,-1012.9,-1012.9,-2025.8
explore,5.695,17.893,1.407,9.787,0.857,0.831,-62.256309509277344,-138.363,-43.635,-181.998
explore,5.548,17.406,1.864,10.327,0.780,0.367,-55.93846893310547,-134.2,-50.801,-185.001
exploit,2.807,18.909,3.492,11.962,1.600,2.218,-16.053552627563477,-28.55,-52.946,-81.496
exploit,10.055,18.943,1.358,7.725,0.280,0.720,-46.63619613647461,-1014.72,-1014.72,-2029.43
exploit,9.894,18.054,0.382,8.946,0.852,0.854,-48.52265930175781,-42.38,-55.981,-98.361
exploit,15.373,18.021,2.227,5.905,0.729,0.821,-40.62299346923828,-38.146,-133.444,-171.59
exploit,2.670,14.916,4.091,11.658,1.600,0.166,-30.111190795898438,-137.64,-48.938,-186.578
exploit,7.392,17.209,4.016,12.420,1.345,0.759,-52.42817687988281,-1016.45,-1016.45,-2032.89
exploit,8.668,17.060,1.106,8.211,1.600,0.067,-49.018775939941406,-1087.43,-1087.43,-2174.85
exploit,11.028,18.688,1.784,6.871,0.062,0.546,-52.6391716003418,-1013.74,-1013.74,-2027.48
exploit,2.686,14.163,5.381,12.878,1.600,0.149,-30.374332427978516,-146.708,-52.507,-199.215
exploit,7.638,18.647,2.055,6.564,0.103,1.790,-32.66190719604492,-143.086,-53.384,-196.47
exploit,5.263,17.242,2.568,10.909,1.026,0.050,-52.763702392578125,-146.982,-53.483,-200.465
exploit,7.749,17.493,0.744,9.163,1.166,1.044,-54.669639587402344,-1014.02,-1014.02,-2028.05
explore,9.638,17.628,2.755,5.903,1.176,0.428,-71.84153747558594,-138.009,-44.506,-182.515
exploit,2.661,15.986,4.457,12.582,0.174,1.600,-41.900726318359375,-141.775,-50.377,-192.152
exploit,7.636,17.501,1.398,7.236,1.153,1.061,-40.38160705566406,-29.121,-36.627,-65.748
exploit,9.868,17.332,2.139,6.513,1.509,0.133,-53.48552322387695,-142.903,-57.002,-199.905
exploit,9.985,17.235,3.775,4.751,1.567,0.035,-39.384525299072266,-146.016,-51.612,-197.628
exploit,13.148,17.337,3.739,4.549,1.413,0.138,-48.99468994140625,-1015.63,-1015.63,-2031.27
explore,14.709,18.187,2.037,6.330,0.564,0.987,-71.18443298339844,-127.467,-34.067,-161.534
exploit,8.692,17.102,1.982,10.048,1.814,0.043,-38.109413146972656,-1014.99,-1014.99,-2029.99
exploit,3.632,18.795,3.305,11.802,0.853,1.595,-47.31856918334961,-31.476,-54.88,-86.356
exploit,7.776,18.595,3.660,12.089,0.155,1.734,-52.18962860107422,-1017.17,-1017.17,-2034.34
explore,10.606,17.829,0.140,8.243,0.921,0.630,-71.6887435913086,-1018.46,-1018.46,-2036.92
exploit,14.513,18.639,3.194,5.299,0.113,0.588,-56.77637481689453,-145.523,-53.644,-199.167
exploit,9.553,17.227,0.630,8.563,0.087,0.032,-56.06779098510742,-1015.36,-1015.36,-2030.71
explore,10.932,17.892,2.246,6.339,0.858,0.692,-81.75631713867188,-132.898,-200,-332.898
exploit,13.936,17.274,2.758,5.830,1.476,0.074,-57.04983139038086,-1015.1,-1015.1,-2030.2
explore,12.901,18.468,0.888,7.817,0.282,1.268,-80.95339965820312,-1018.5,-1018.5,-2037
exploit,8.258,17.058,1.239,7.849,1.623,0.477,-55.400550842285156,-138.206,-47.507,-185.713
exploit,10.938,17.203,2.822,5.918,0.047,0.004,-59.17460632324219,-138.328,-50.227,-188.555
exploit,2.925,17.251,3.199,11.651,2.163,0.052,-28.164608001708984,-136.647,-47.757,-184.404
exploit,7.801,18.011,0.092,8.625,0.740,1.270,-56.80254364013672,-1018.05,-1018.05,-2036.09
exploit,3.028,18.899,2.501,10.876,1.600,1.457,-30.88583755493164,-29.113,-51.611,-80.724
exploit,2.082,15.610,4.652,12.765,1.600,0.753,-40.76011657714844,-28.005,-61.108,-89.113
explore,6.103,17.967,3.042,11.470,0.783,0.801,-80.93515014648438,-146.426,-58.227,-204.653
exploit,2.739,14.939,4.284,11.852,0.096,0.844,-40.973751068115234,-136.468,-49.171,-185.639
exploit,2.959,18.235,3.273,11.775,1.611,1.036,-48.994598388671875,-29.831,-51.931,-81.762
exploit,4.893,18.676,3.238,11.594,0.074,0.746,-55.46579360961914,-131.989,-50.788,-182.777
explore,12.831,18.590,1.406,7.305,0.160,1.390,-68.2552490234375,-1014.11,-1014.11,-2028.21
exploit,3.350,18.875,4.035,12.381,1.600,1.135,-61.83259582519531,-30.526,-54.831,-85.357
explore,3.385,18.744,3.209,11.664,1.100,1.544,-64.87191772460938,-29.129,-51.029,-80.158
exploit,13.202,17.309,1.373,7.354,0.741,0.110,-59.71815872192383,-1086.54,-1086.54,-2173.08
exploit,16.143,18.657,3.384,5.214,0.094,1.457,-58.92481231689453,-144.109,-200,-344.109
exploit,15.335,18.683,4.085,4.483,0.067,1.483,-48.66471862792969,-151.293,-200,-351.293
exploit,3.590,17.262,3.719,12.185,0.745,0.062,-59.01885223388672,-140.886,-47.886,-188.772
exploit,7.641,17.601,1.805,10.276,1.149,1.103,-56.84048843383789,-1018.6,-1018.6,-2037.2
exploit,7.488,17.086,1.197,8.963,0.853,1.247,-56.29264450073242,-135.11,-49.51,-184.62
exploit,11.403,18.598,2.570,6.060,0.153,1.291,-61.87460708618164,-1011.83,-1011.83,-2023.67
exploit,10.559,17.231,1.433,9.795,0.082,0.039,-59.52642822265625,-1016.73,-1016.73,-2033.47
exploit,10.873,17.207,1.525,9.724,0.039,0.014,-56.335479736328125,-145.774,-54.17,-199.944
exploit,9.445,18.946,1.120,8.412,0.110,0.890,-60.19322204589844,-1016.35,-1016.35,-2032.69
exploit,11.931,17.207,3.986,4.601,0.047,0.008,-58.90024948120117,-1024.33,-1024.33,-2048.66
exploit,7.775,18.609,0.890,7.914,0.142,1.746,-60.75236129760742,-138.652,-47.053,-185.705
exploit,5.758,18.657,2.431,10.877,0.096,0.437,-66.05836486816406,-1023.15,-1023.15,-2046.29
exploit,7.724,18.536,0.444,8.766,0.214,1.716,-61.89133071899414,-138.819,-47.722,-186.541
exploit,7.686,18.658,1.703,6.975,0.092,1.827,-49.69976806640625,-1109.72,-1109.72,-2219.44
exploit,10.375,18.737,1.286,9.660,0.016,1.042,-62.028358459472656,-39.782,-134.984,-174.766
exploit,7.660,18.482,1.806,10.322,0.269,1.673,-55.522056579589844,-135.706,-49.509,-185.215
exploit,7.588,18.637,2.886,11.427,0.113,1.753,-60.31055450439453,-1014.12,-1014.12,-2028.24
exploit,7.026,17.110,2.403,10.863,1.641,0.391,-63.530517578125,-1014.3,-1014.3,-2028.6
exploit,5.253,17.237,3.426,11.853,1.036,0.041,-67.21284484863281,-137.302,-51.502,-188.804
explore,15.459,18.589,3.204,5.412,0.163,1.088,-82.72577667236328,-139.56,-49.361,-188.921
exploit,7.484,18.655,3.813,12.319,0.095,1.710,-64.96760559082031,-137.573,-48.984,-186.557
exploit,10.322,18.822,2.786,10.994,0.031,0.026,-64.83084869384766,-132.465,-53.164,-185.629
exploit,15.042,17.269,1.918,6.689,0.697,0.069,-64.64723205566406,-1027.14,-1027.14,-2054.28
exploit,11.444,17.222,3.472,5.076,0.093,0.024,-64.87588500976562,-140.663,-48.462,-189.125
exploit,6.327,18.682,3.937,12.460,0.069,0.596,-58.584781646728516,-1014.27,-1014.27,-2028.54
exploit,4.906,18.636,4.045,12.576,0.116,0.639,-54.857032775878906,-130.365,-52.073,-182.438
exploit,13.450,17.231,1.186,7.683,0.091,0.035,-68.62065124511719,-141.508,-49.006,-190.514
exploit,7.142,17.078,2.081,10.232,0.508,1.593,-63.14019775390625,-1012.47,-1012.47,-2024.94
explore,10.457,18.637,1.424,7.280,0.115,0.638,-75.37950897216797,-1013.25,-1013.25,-2026.5
exploit,6.327,17.215,1.613,9.834,1.044,0.017,-63.90851974487305,-138.516,-48.411,-186.927
exploit,9.279,17.216,3.234,11.663,0.047,0.017,-64.94059753417969,-1025.77,-1025.77,-2051.53
exploit,2.170,14.050,5.493,13.119,0.665,1.600,-43.957984924316406,-27.265,-64.647,-91.912
exploit,10.699,17.483,0.475,8.851,1.267,0.283,-62.02602005004883,-30.138,-43.339,-73.477
exploit,8.918,18.853,0.825,8.916,0.933,0.117,-63.14952850341797,-1014.25,-1014.25,-2028.49
exploit,8.598,17.087,2.285,10.632,0.138,1.600,-72.6046142578125,-1014.19,-1014.19,-2028.38
exploit,7.733,18.634,1.398,9.876,0.116,1.791,-52.98405838012695,-1013.74,-1013.74,-2027.48
exploit,2.653,14.240,5.258,12.649,0.182,1.600,-47.75630187988281,-157.563,-138.875,-296.438
exploit,7.720,17.696,0.473,8.140,1.054,1.152,-68.57341003417969,-132.016,-38.717,-170.733
exploit,8.705,17.158,4.002,12.291,1.626,0.031,-62.72933578491211,-144.481,-54.382,-198.863
exploit,8.174,17.154,1.645,9.953,1.539,0.561,-69.3077163696289,-1014.44,-1014.44,-2028.88
explore,9.928,18.511,1.598,9.760,0.499,0.660,-82.1054916381836,-28.884,-45.485,-74.369
exploit,12.135,17.230,2.322,6.515,1.520,0.030,-66.36579132080078,-1014.01,-1014.01,-2028.01
exploit,13.521,18.649,2.351,6.286,0.102,0.793,-69.44169616699219,-1013.67,-1013.67,-2027.35
exploit,2.930,17.471,3.767,12.178,2.014,0.271,-51.977474212646484,-28.969,-52.963,-81.932
exploit,5.793,18.671,1.944,10.301,0.080,0.796,-65.97687530517578,-139.901,-48.91,-188.811
explore,14.469,18.254,1.304,7.244,0.496,1.054,-80.35389709472656,-1011.64,-1011.64,-2023.28
exploit,12.856,17.201,1.718,6.923,0.029,0.021,-70.8074951171875,-1021.41,-1021.41,-2042.82
explore,15.890,18.327,2.880,5.640,0.423,1.127,-84.56831359863281,-126.297,-35.7,-161.997
explore,3.933,18.707,3.703,12.153,0.554,1.507,-78.78624725341797,-31.436,-58.537,-89.973
exploit,1.970,13.922,5.475,12.834,1.600,0.865,-46.05416488647461,-27.35,-62.757,-90.107
exploit,8.417,17.109,1.195,9.237,1.710,0.318,-66.36844635009766,-1013.75,-1013.75,-2027.5
explore,9.308,17.360,0.732,8.247,1.138,0.162,-86.58494567871094,-141.422,-54.125,-195.547
exploit,8.599,17.151,1.157,7.855,1.732,0.136,-66.89347839355469,-135.559,-51.958,-187.517
exploit,8.120,17.144,4.073,12.601,0.615,1.485,-68.75404357910156,-1014.83,-1014.83,-2029.67
exploit,8.207,17.092,1.609,9.750,0.529,1.572,-68.85053253173828,-30.356,-49.975,-80.331
exploit,8.030,17.332,1.196,7.419,1.407,0.729,-66.2642822265625,-138.838,-48.54,-187.378
explore,14.271,18.248,3.692,4.620,0.502,1.049,-73.1896743774414,-1014.91,-1014.91,-2029.83
exploit,2.883,18.827,3.918,12.348,1.600,2.107,-46.2496223449707,-29.142,-52.636,-81.778
exploit,2.746,18.900,3.304,11.753,1.600,2.254,-45.7703742980957,-28.374,-50.475,-78.849
exploit,2.813,14.641,4.180,11.574,0.023,0.094,-40.3482666015625,-138.344,-52.047,-190.391
