roberto_reward,marvin_reward,reward
-15.911,-59.515,-75.426
-14.501,-58.02,-72.521
-14.278,-57.982,-72.26
-14.53,-58.246,-72.776
-14.363,-57.566,-71.929
-14.393,-57.889,-72.282
-14.467,-58.168,-72.635
-14.541,-58.344,-72.885
-15.488,-59.39,-74.878
-15.49,-58.995,-74.485
-14.395,-57.5,-71.895
-14.32,-57.724,-72.044
-15.241,-59.243,-74.484
-14.594,-57.701,-72.295
-14.464,-57.875,-72.339
-15.514,-59.122,-74.636
-14.256,-57.651,-71.907
-15.641,-59.053,-74.694
-14.399,-57.805,-72.204
-15.538,-59.352,-74.89
-14.409,-57.534,-71.943
-14.488,-57.991,-72.479
-15.539,-59.745,-75.284
-14.416,-57.919,-72.335
-14.474,-57.681,-72.155
-14.638,-57.84,-72.478
-16.111,-59.709,-75.82
-14.631,-57.537,-72.168
-15.554,-59.655,-75.209
-14.409,-58.01,-72.419
-14.337,-58.038,-72.375
-15.138,-59.94,-75.078
-15.472,-59.174,-74.646
-14.55,-57.646,-72.196
-14.409,-57.002,-71.411
-14.315,-57.425,-71.74
-14.481,-57.992,-72.473
-14.304,-57.708,-72.012
-15.336,-59.249,-74.585
-15.213,-59.62,-74.833
-14.507,-57.907,-72.414
-14.489,-55.995,-70.484
-15.377,-58.279,-73.656
-14.406,-57.91,-72.316
-14.535,-57.841,-72.376
-14.398,-58.002,-72.4
-15.341,-59.748,-75.089
-14.322,-57.928,-72.25
-14.46,-58.361,-72.821
-14.548,-58.256,-72.804
-14.478,-57.695,-72.173
-14.314,-57.916,-72.23
-15.991,-59.315,-75.306
-14.577,-58.089,-72.666
-14.462,-57.86,-72.322
-14.461,-57.882,-72.343
-14.321,-57.739,-72.06
-15.348,-59.118,-74.466
-15.655,-59.458,-75.113
-14.521,-58.141,-72.662
-14.599,-57.898,-72.497
-14.422,-57.842,-72.264
-14.488,-57.589,-72.077
-14.64,-57.743,-72.383
-14.472,-58.083,-72.555
-14.63,-58.149,-72.779
-14.421,-57.954,-72.375
-14.437,-57.757,-72.194
-14.414,-58.113,-72.527
-15.074,-59.112,-74.186
-16.744,-59.148,-75.892
-14.348,-57.247,-71.595
-14.5,-57.617,-72.117
-14.577,-57.987,-72.564
-15.87,-59.148,-75.018
-14.439,-57.854,-72.293
-14.572,-57.775,-72.347
-14.516,-57.722,-72.238
-14.526,-57.858,-72.384
-14.479,-58.077,-72.556
-15.198,-59.618,-74.816
-14.539,-57.847,-72.386
-16.457,-59.451,-75.908
-16.157,-59.467,-75.624
-14.331,-57.814,-72.145
-16.655,-59.867,-76.522
-14.554,-57.676,-72.23
-15.631,-59.44,-75.071
-15.404,-59.509,-74.913
-14.643,-58.047,-72.69
-14.483,-57.997,-72.48
-14.459,-58.066,-72.525
-14.546,-58.05,-72.596
-14.653,-58.06,-72.713
-14.428,-58.329,-72.757
-14.424,-58.426,-72.85
-14.332,-57.563,-71.895
-14.417,-57.825,-72.242
-14.562,-58.177,-72.739
-15.323,-58.825,-74.148
