type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,11.452,17.557,1.757,10.260,1.193,0.357,-45.71360778808594,-200,-200,-400
exploit,15.539,18.336,2.359,6.182,0.414,1.136,-44.61132049560547,-19.205,-24.801,-44.006
explore,15.605,17.799,2.349,6.207,0.951,0.599,-82.2840576171875,-1017.21,-1017.21,-2034.42
exploit,11.612,18.302,1.746,10.171,0.448,1.102,-42.41765594482422,-1024.2,-1024.2,-2048.4
exploit,15.353,18.344,2.166,6.371,0.406,1.144,-43.72554016113281,-18.304,-24.803,-43.107
exploit,15.757,18.322,2.594,5.962,0.428,1.123,-46.468013763427734,-1015,-1015,-2030
exploit,10.015,18.752,3.324,11.642,0.323,0.682,-39.22840881347656,-1012.5,-1012.5,-2025
exploit,9.997,18.599,3.227,11.788,0.393,0.691,-46.31338119506836,-48.902,-153.602,-202.504
explore,10.623,17.646,2.562,11.084,1.104,0.446,-61.317405700683594,-1018.5,-1018.5,-2037.01
exploit,10.873,18.339,2.335,10.892,0.411,1.139,-44.93490219116211,-14.501,-37.014,-51.515
explore,11.800,18.317,1.512,9.826,0.433,1.117,-57.61664962768555,-14.502,-35.003,-49.505
exploit,16.506,17.556,3.356,5.248,1.194,0.357,-41.90084457397461,-1012.7,-1012.7,-2025.4
exploit,10.899,18.349,2.397,10.668,0.401,1.149,-44.401336669921875,-14.5,-36.412,-50.912
exploit,9.276,17.661,3.965,12.507,1.089,0.461,-43.44746398925781,-1024.21,-1024.21,-2048.41
exploit,12.413,17.566,0.896,9.324,1.184,0.367,-45.661075592041016,-14.8,-32.501,-47.301
exploit,12.361,17.573,0.947,9.357,1.178,0.373,-45.53200149536133,-14.603,-32.502,-47.105
exploit,12.458,17.579,0.868,9.278,1.171,0.380,-47.699195861816406,-14.406,-32.006,-46.412
exploit,12.154,17.555,1.154,9.602,1.195,0.356,-46.89247512817383,-21.422,-37.603,-59.025
exploit,15.135,18.301,1.995,6.584,0.449,1.101,-49.609039306640625,-19.509,-26.909,-46.418
exploit,10.537,18.303,2.649,11.202,0.447,1.103,-52.34649658203125,-16.504,-38.007,-54.511
exploit,15.357,18.315,2.159,6.376,0.436,1.115,-46.60846710205078,-21.403,-28.205,-49.608
exploit,10.585,18.349,2.670,11.151,0.401,1.149,-48.184356689453125,-14.712,-37.242,-51.954
exploit,15.134,18.345,1.971,6.590,0.405,1.145,-44.4332275390625,-18.707,-25.506,-44.213
exploit,12.459,17.564,0.885,9.217,1.187,0.364,-48.21937561035156,-144.7,-161.504,-306.204
explore,14.924,18.287,1.764,6.826,0.463,1.087,-56.32072448730469,-1013.5,-1013.5,-2027.01
explore,9.846,18.366,3.380,11.917,0.654,0.671,-77.27696228027344,-14.525,-39.03,-53.555
exploit,12.475,17.590,0.845,9.291,1.160,0.390,-55.77690124511719,-14.511,-32.413,-46.924
exploit,12.075,17.564,1.281,9.692,1.186,0.365,-53.672645568847656,-1018.21,-1018.21,-2036.42
explore,15.860,17.902,2.703,5.877,0.849,0.702,-87.98716735839844,-142.301,-27.708,-170.009
exploit,11.761,18.328,1.503,9.983,0.422,1.128,-55.07492446899414,-200,-200,-400
explore,13.098,17.885,0.190,8.569,0.865,0.685,-76.59359741210938,-200,-35.4,-235.4
exploit,10.240,17.566,2.947,11.458,1.193,0.366,-52.985511779785156,-16.302,-40.519,-56.821
exploit,15.308,18.303,2.163,6.351,0.448,1.103,-49.24126052856445,-1013.7,-1013.7,-2027.4
exploit,15.235,18.329,2.028,6.513,0.421,1.129,-49.041587829589844,-21.805,-28.205,-50.01
exploit,11.207,18.335,2.151,10.384,0.416,1.135,-49.54248046875,-14.702,-36.405,-51.107
exploit,12.375,17.552,0.963,9.417,1.198,0.353,-53.71887969970703,-15.004,-33.205,-48.209
exploit,10.836,18.348,2.337,10.863,0.402,1.148,-48.7561149597168,-14.385,-37.477,-51.862
exploit,10.699,18.329,2.500,11.064,0.421,1.129,-50.94606018066406,-14.421,-37.425,-51.846
exploit,10.531,18.314,2.684,11.267,0.436,1.114,-52.6088981628418,-14.503,-37.708,-52.211
explore,16.992,17.914,3.790,4.749,0.836,0.714,-85.90341186523438,-141.901,-23.801,-165.702
exploit,17.209,17.681,3.967,4.382,1.083,0.482,-48.39683532714844,-139.104,-24.706,-163.81
exploit,16.212,18.332,3.010,5.528,0.419,1.132,-51.173912048339844,-139.301,-24.501,-163.802
