type,wx,wy,d1,d2,d3,d4,E_reward,roberto_reward,marvin_reward,reward
exploit,8.935,9.850,0.590,8.776,0.450,1.105,-128.4736328125,-30.327,-47.225,-77.552
exploit,8.835,9.850,0.597,8.775,0.450,1.118,-126.97314453125,-31.323,-47.301,-78.624
exploit,9.085,9.950,0.411,8.704,0.350,1.200,-100.43896484375,-31.738,-45.037,-76.775
exploit,9.085,9.900,0.491,8.711,0.400,1.150,-115.9052734375,-27.875,-46.476,-74.351
exploit,8.885,9.850,0.585,8.784,0.450,1.110,-128.41943359375,-29.379,-44.679,-74.058
exploit,9.035,9.900,0.477,8.674,0.400,1.150,-116.28662109375,-27.886,-46.386,-74.272
exploit,8.935,9.950,0.464,8.726,0.350,1.204,-106.5546875,-28.235,-47.233,-75.468
exploit,8.535,9.750,0.892,9.118,0.550,1.118,-110.226318359375,-30.556,-48.369,-78.925
exploit,9.035,9.900,0.509,8.707,0.400,1.150,-117.03564453125,-28.834,-46.734,-75.568
exploit,9.135,9.900,0.486,8.644,0.400,1.150,-119.3154296875,-33.052,-42.853,-75.905
exploit,9.035,9.900,0.553,8.662,0.400,1.150,-124.603515625,-31.1,-47.376,-78.476
exploit,8.935,9.900,0.632,8.790,0.400,1.154,-127.9912109375,-30.357,-46.758,-77.115
exploit,8.935,9.950,0.405,8.703,0.350,1.204,-99.5830078125,-28.061,-47.461,-75.522
exploit,9.135,9.950,0.507,8.683,0.350,1.200,-114.49560546875,-28.483,-43.184,-71.667
exploit,9.035,9.950,0.487,8.690,0.350,1.200,-110.509765625,-30.726,-46.426,-77.152
exploit,8.485,9.700,1.041,9.071,0.600,1.074,-52.705078125,-1017.9,-1017.9,-2035.8
exploit,9.085,9.950,0.490,8.695,0.350,1.200,-110.78125,-27.553,-46.344,-73.897
exploit,9.085,9.900,0.482,8.709,0.400,1.150,-115.5068359375,-29.039,-47.238,-76.277
exploit,9.085,9.950,0.472,8.697,0.350,1.200,-107.8017578125,-29.352,-45.946,-75.298
exploit,8.935,9.950,0.427,8.815,0.350,1.204,-110.17578125,-29.949,-46.663,-76.612
exploit,9.135,9.900,0.534,8.669,0.400,1.150,-121.501953125,-31.432,-46.127,-77.559
exploit,9.085,9.900,0.524,8.730,0.400,1.150,-118.0458984375,-30.62,-44.024,-74.644
exploit,9.085,9.900,0.452,8.685,0.400,1.150,-114.95458984375,-28.421,-43.22,-71.641
exploit,8.885,9.950,0.404,8.761,0.350,1.209,-101.81396484375,-29.12,-44.915,-74.035
exploit,9.035,9.900,0.489,8.734,0.400,1.150,-116.13818359375,-31.408,-45.717,-77.125
exploit,8.985,9.900,0.572,8.715,0.400,1.151,-122.8681640625,-29.698,-43.595,-73.293
exploit,8.385,9.750,0.915,9.109,0.550,1.077,-99.9482421875,-1017.19,-1017.19,-2034.38
exploit,8.885,9.850,0.600,8.762,0.450,1.110,-127.3271484375,-30.5,-46.899,-77.399
exploit,8.935,9.900,0.498,8.717,0.400,1.154,-115.84423828125,-28.541,-46.935,-75.476
exploit,9.085,9.950,0.418,8.650,0.350,1.200,-102.8193359375,-28.063,-43.164,-71.227
exploit,9.035,9.900,0.498,8.736,0.400,1.150,-116.60693359375,-30.712,-43.212,-73.924
exploit,9.085,9.950,0.479,8.704,0.350,1.200,-108.72021484375,-28.638,-46.736,-75.374
exploit,8.985,9.900,0.571,8.694,0.400,1.151,-124.07666015625,-29.259,-47.059,-76.318
exploit,8.835,9.950,0.382,8.732,0.350,1.217,-97.728515625,-28.79,-47.495,-76.285
exploit,8.935,9.900,0.609,8.816,0.400,1.154,-127.2470703125,-31.37,-44.453,-75.823
exploit,8.985,9.900,0.560,8.744,0.400,1.151,-121.03466796875,-29.044,-45.444,-74.488
exploit,9.035,9.900,0.558,8.685,0.400,1.150,-123.0498046875,-31.43,-44.028,-75.458
exploit,8.985,9.950,0.419,8.709,0.350,1.201,-101.099609375,-29.236,-44.137,-73.373
exploit,8.985,9.950,0.329,8.699,0.350,1.201,-98.24560546875,-28.917,-44.112,-73.029
exploit,8.985,9.900,0.569,8.699,0.400,1.151,-123.4775390625,-1021.62,-1021.62,-2043.23
exploit,9.035,9.950,0.437,8.708,0.350,1.200,-102.9365234375,-28.523,-46.812,-75.335
exploit,8.835,9.950,0.412,8.709,0.350,1.217,-99.25634765625,-27.421,-47.321,-74.742
exploit,9.035,9.900,0.459,8.683,0.400,1.150,-115.16015625,-28.646,-44.444,-73.09
exploit,8.985,9.900,0.583,8.684,0.400,1.151,-126.54345703125,-29.87,-43.769,-73.639
exploit,8.935,9.950,0.333,8.632,0.350,1.204,-100.2705078125,-28.313,-44.016,-72.329
exploit,9.085,9.900,0.514,8.658,0.400,1.150,-120.34375,-31.961,-43.564,-75.525
exploit,9.085,9.950,0.475,8.653,0.350,1.200,-110.57666015625,-28.777,-47.867,-76.644
exploit,9.035,9.900,0.512,8.699,0.400,1.150,-117.47900390625,-28.043,-48.229,-76.272
exploit,9.085,9.900,0.469,8.631,0.400,1.150,-119.736328125,-31.893,-46.393,-78.286
exploit,9.035,9.900,0.580,8.697,0.400,1.150,-124.9970703125,-28.798,-44.212,-73.01
exploit,9.035,9.950,0.352,8.660,0.350,1.200,-98.7880859375,-27.586,-43.786,-71.372
exploit,9.035,9.950,0.512,8.724,0.350,1.200,-114.47021484375,-29.681,-47.482,-77.163
exploit,8.985,9.900,0.597,8.735,0.400,1.151,-124.9609375,-28.298,-46.9,-75.198
exploit,9.085,9.950,0.451,8.645,0.350,1.200,-107.3271484375,-29.179,-48.173,-77.352
exploit,8.935,9.950,0.445,8.660,0.350,1.204,-105.10400390625,-29.831,-46.426,-76.257
exploit,9.035,9.950,0.457,8.642,0.350,1.200,-108.6748046875,-29.286,-43.785,-73.071
exploit,9.035,9.900,0.519,8.718,0.400,1.150,-117.64794921875,-28.677,-43.36,-72.037
exploit,8.785,9.850,0.680,8.880,0.450,1.128,-128.03076171875,-28.625,-44.325,-72.95
exploit,9.035,9.950,0.420,8.706,0.350,1.200,-101.20068359375,-29.3,-43.9,-73.2
exploit,8.985,9.900,0.588,8.730,0.400,1.151,-124.0986328125,-30.853,-46.654,-77.507
exploit,9.035,9.950,0.487,8.705,0.350,1.200,-110.0458984375,-30.836,-47.433,-78.269
exploit,9.135,9.950,0.436,8.614,0.350,1.200,-108.9814453125,-27.723,-45.824,-73.547
exploit,9.035,9.950,0.350,8.620,0.350,1.200,-101.9853515625,-28.783,-47.289,-76.072
exploit,9.135,9.950,0.401,8.683,0.350,1.200,-99.7958984375,-28.686,-43.49,-72.176
exploit,8.985,9.950,0.391,8.705,0.350,1.201,-98.99853515625,-29.371,-43.97,-73.341
exploit,8.735,9.800,0.979,9.070,0.500,1.092,-76.90380859375,-29.396,-47.996,-77.392
exploit,9.085,9.950,0.461,8.661,0.350,1.200,-107.58935546875,-29.486,-44.188,-73.674
exploit,9.085,9.950,0.383,8.593,0.350,1.200,-106.62841796875,-27.409,-45.409,-72.818
exploit,8.485,9.800,0.878,9.098,0.500,1.163,-116.91748046875,-32.028,-48.126,-80.154
exploit,9.035,9.900,0.575,8.710,0.400,1.150,-123.4453125,-28.303,-46.402,-74.705
exploit,8.985,9.950,0.482,8.670,0.350,1.201,-110.65576171875,-27.937,-44.137,-72.074
exploit,9.035,9.950,0.364,8.683,0.350,1.200,-98.17822265625,-28.71,-46.809,-75.519
exploit,8.585,9.750,0.889,9.055,0.550,1.097,-93.60546875,-32.177,-47.082,-79.259
exploit,8.985,9.900,0.515,8.737,0.400,1.151,-117.44140625,-31.392,-45.996,-77.388
exploit,9.085,9.900,0.469,8.677,0.400,1.150,-115.76513671875,-28.239,-42.741,-70.98
exploit,9.185,9.900,0.527,8.611,0.400,1.150,-128.76123046875,-31.618,-46.117,-77.735
exploit,9.035,9.950,0.368,8.704,0.350,1.200,-98.27099609375,-31.489,-44.496,-75.985
exploit,9.035,9.900,0.531,8.750,0.400,1.150,-118.88818359375,-29.251,-43.651,-72.902
exploit,8.335,9.700,1.178,9.120,0.600,1.012,-54.92236328125,-151.721,-148.821,-300.542
exploit,10.635,9.950,0.453,8.730,0.350,1.200,-105.3125,-35.095,-46.599,-81.694
exploit,8.885,9.850,0.598,8.737,0.450,1.110,-127.55859375,-29.242,-46.443,-75.685
exploit,9.235,9.950,0.429,8.630,0.350,1.200,-105.93310546875,-29.2,-43.891,-73.091
exploit,8.435,9.750,0.945,9.134,0.550,1.097,-100.373779296875,-1015.43,-1015.43,-2030.86
exploit,7.085,10.400,1.184,9.058,0.450,0.600,-51.0135498046875,-151.524,-153.744,-305.268
exploit,8.885,9.950,0.374,8.689,0.350,1.209,-97.16796875,-27.699,-47.782,-75.481
exploit,9.135,9.950,0.444,8.609,0.350,1.200,-110.64111328125,-30.48,-48.282,-78.762
